"","gene_name","Temperate","Lytic","a","c","b","d","p_two_sided","OR","OR_cc","plot_OR","direction","prevalence","dataset","COGlet"
"48","Histidine biosynthesis, Purine biosynthesis",0,37,0,37,323,419,2.1940686223555e-09,0,0.0172900566718187,5.85391359204857,"Lytic",37,"INPHARED","F"
"49","Inorganic ion (P)",70,6,70,6,253,450,2.0958485491923e-22,20.7509881422925,19.2749203459263,4.2686529930679,"Temperate",76,"INPHARED","P"
"50","Inorganic ion (P)",1261,16,1261,16,6657,801,6.1505687719938e-38,9.48307232987832,9.20440378247363,3.20232427367442,"Temperate",1277,"UHGV","P"
"51","Isoleucine, leucine, valine biosynthesis",5,0,5,0,7913,817,1,Inf,1.13634927655273,0.184406340213609,"Temperate",5,"UHGV","S"
"52","Isoprenoid biosynthesis",6,0,6,0,7912,817,1,Inf,1.34312796208531,0.425596759323471,"Temperate",6,"UHGV","H"
"53","Lipid (I)",50,1,50,1,7868,816,0.0862810531223563,5.18556176919166,3.49352905043316,1.80468513704727,"Temperate",51,"UHGV","I"
"54","Lipid A biosynthesis",2,0,2,0,7916,817,1,Inf,0.516326659508621,0.95364400415218,"Temperate",2,"UHGV","M"
"55","Lysine biosynthesis",7,2,7,2,7911,815,0.203011778690383,0.360573884464669,0.309233394425836,1.69323196912053,"Lytic",9,"UHGV","E"
"56","Menaquinone biosynthesis",2,1,2,1,7916,816,0.255195364684158,0.206164729661445,0.171898355754858,2.54037234969709,"Lytic",3,"UHGV","S"
"57","Methionine biosynthesis",2,0,2,0,321,456,0.171609505298138,Inf,7.099533437014,2.82772421754364,"Temperate",2,"INPHARED","E"
"58","Methionine biosynthesis",20,2,20,2,7898,815,1,1.0319068118511,0.846629106792429,0.240198006061827,"Temperate",22,"UHGV","E"
"59","Molybdopterin biosynthesis",40,18,40,18,7878,799,3.04937965555177e-06,0.225381512510225,0.222156090214731,2.17035440277575,"Lytic",58,"UHGV","H"
"60","Motility (N)",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","N"
"61","Mureine biosynthesis",2,0,2,0,7916,817,1,Inf,0.516326659508621,0.95364400415218,"Temperate",2,"UHGV","M"
"62","NAD biosynthesis",17,14,17,14,7901,803,2.04791559179885e-07,0.123411141446833,0.122728770399335,3.02645460589481,"Lytic",31,"UHGV","H"
"63","NAD biosynthesis",1,38,1,38,322,418,1.49290705167571e-08,0.0341614906832298,0.0505587435819994,4.30589557773402,"Lytic",39,"INPHARED","H"
"64","NO_HIT",7917,817,7917,817,1,0,1,0,3.22833843017329,1.69079182580895,"Lytic",8734,"UHGV","0"
"65","NO_HIT",322,455,322,455,1,1,1,0.707692307692308,0.70801317233809,0.498151893491434,"Lytic",777,"INPHARED","0"
"66","Non-phosphorylated Entner-Doudoroff pathway",1,1,1,1,7917,816,0.178325053030161,0.103069344448655,0.103125986738238,3.27752017135386,"Lytic",2,"UHGV","G"
"67","Nucleotide (F)",32,63,32,63,291,393,0.11951526587133,0.685976108656521,0.690900987290825,0.533449121436721,"Lytic",95,"INPHARED","F"
"68","Nucleotide (F)",71,38,71,38,7847,779,1.75054360377114e-13,0.185484898687396,0.18447185181814,2.4385273996882,"Lytic",109,"UHGV","F"
"69","Pantothenate/CoA biosynthesis",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","H"
"70","Phage-associated",7916,801,7916,801,2,16,3.83064384352889e-15,79.0611735330836,65.1888958203369,6.02655433374153,"Temperate",8717,"UHGV","Ph"
"71","Phage-associated",321,456,321,456,2,0,0.171609505298138,0,0.140854326396495,2.82772421754364,"Lytic",777,"INPHARED","Ph"
"72","Phospholipid biosynthesis",0,1,0,1,7918,816,0.0935317687464225,0,0.034370987771253,4.86266487655125,"Lytic",1,"UHGV","I"
"73","Phospholipid biosynthesis",1,0,1,0,322,456,0.414634146341463,Inf,4.24651162790698,2.08627820039476,"Temperate",1,"INPHARED","I"
"74","Posttranslational (O)",1337,109,1337,109,6581,708,0.00876527066188348,1.31961206085353,1.31490579828543,0.394959446502723,"Temperate",1446,"UHGV","O"
"75","Posttranslational (O)",38,36,38,36,285,420,0.0822129862592714,1.55555555555556,1.55355900487009,0.635577036707186,"Temperate",74,"INPHARED","O"
"76","Proline biosynthesis",3,0,3,0,7915,817,1,Inf,0.722948645063483,0.468034926471224,"Temperate",3,"UHGV","E"
"77","Purine biosynthesis",1,0,1,0,322,456,0.414634146341463,Inf,4.24651162790698,2.08627820039476,"Temperate",1,"INPHARED","F"
"78","Purine biosynthesis",2,0,2,0,7916,817,1,Inf,0.516326659508621,0.95364400415218,"Temperate",2,"UHGV","F"
"79","Purine salvage",2,1,2,1,7916,816,0.255195364684158,0.206164729661445,0.171898355754858,2.54037234969709,"Lytic",3,"UHGV","F"
"80","Pyridoxal phosphate biosynthesis",8,0,8,0,7910,817,1,Inf,1.75684217179698,0.812984590780964,"Temperate",8,"UHGV","S"
"81","Pyrimidine biosynthesis",7,0,7,0,7911,817,1,Inf,1.54995892055868,0.632229979440393,"Temperate",7,"UHGV","F"
"82","Pyrimidine degradation",4,0,4,0,319,456,0.0292357076255236,Inf,12.8591549295775,3.68472393047954,"Temperate",4,"INPHARED","S"
"83","Pyrimidine degradation",22,12,22,12,7896,805,3.25503211052319e-05,0.186908983451537,0.183612993098208,2.44525994237147,"Lytic",34,"UHGV","S"
"84","Pyrimidine salvage",4,31,4,31,319,425,0.000144304155003196,0.171908180806957,0.190252626872345,2.39401172131864,"Lytic",35,"INPHARED","F"
"85","Pyrimidine salvage",24,3,24,3,7894,814,0.736059814195368,0.824930326830504,0.72221166634999,0.469506369630808,"Lytic",27,"UHGV","F"
"86","Pyruvate oxidation",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","C"
"87","Replication, recombination, repair (L)",4138,195,4138,195,3780,622,2.8634632832962e-56,3.49184099850767,3.48567034157987,1.80143613255681,"Temperate",4333,"UHGV","L"
"88","Replication, recombination, repair (L)",157,200,157,200,166,256,0.214705214383935,1.21060240963855,1.21015029992586,0.27518624046815,"Temperate",357,"INPHARED","L"
"89","Riboflavin/FAD biosynthesis",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","H"
"90","Ribosome 30S subunit",10,1,10,1,7908,816,1,1.03186646433991,0.722703420370487,0.468524372666946,"Temperate",11,"UHGV","J"
"91","Ribosome 50S subunit",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","J"
"92","RNA polymerase",11,2,11,2,7907,815,0.346822245934584,0.566902744403693,0.474397723680051,1.07583100752322,"Lytic",13,"UHGV","K"
"93","RNA polymerase",0,1,0,1,323,455,1,0,0.469345698093766,1.09127715891161,"Lytic",1,"INPHARED","K"
"94","Secondary metabolite (Q)",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","Q"
"95","Serine biosynthesis",12,4,12,4,7906,813,0.0556586840870064,0.308499873513787,0.285805631091156,1.80689375344575,"Lytic",16,"UHGV","E"
"96","Signal transd. (T)",147,14,147,14,7771,803,0.891448866782503,1.08499549607515,1.0517319028191,0.0727669938254887,"Temperate",161,"UHGV","T"
"97","Signal transd. (T)",11,16,11,16,312,440,1,0.969551282051282,0.982448484848485,0.0255463339304764,"Lytic",27,"INPHARED","T"
"98","Sporulation",106,172,106,172,217,284,0.17209309461716,0.806558782552781,0.807576211894053,0.308329679869202,"Lytic",278,"INPHARED","Sp"
"99","Sporulation",2192,136,2192,136,5726,681,1.66842743406412e-12,1.91689096176368,1.9115406843513,0.934735906155947,"Temperate",2328,"UHGV","Sp"
"100","TCA cycle",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","C"
"101","Thiamine biosynthesis",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","H"
"102","Thymidylate biosynthesis",5,21,5,21,318,435,0.0243621402462249,0.325696316262354,0.349786426198386,1.51545378972224,"Lytic",26,"INPHARED","F"
"103","Thymidylate biosynthesis",88,102,88,102,7830,715,7.65737426540238e-56,0.0787819597826359,0.0788931959302353,3.66395530805297,"Lytic",190,"UHGV","F"
"104","Transcription (K)",762,19,762,19,7156,798,1.34874106755337e-15,4.47233091112353,4.36294242100153,2.12530143418113,"Temperate",781,"UHGV","K"
"105","Transcription (K)",52,0,52,0,271,456,9.74251244309925e-22,Inf,176.546961325967,7.46390817984598,"Temperate",52,"INPHARED","K"
"106","Translation (J)",8,134,8,134,315,322,7.83805680527525e-26,0.061028192371476,0.064599178739123,3.95234036597822,"Lytic",142,"INPHARED","J"
"107","Translation (J)",145,34,145,34,7773,783,6.9281320705663e-05,0.429597929484414,0.425075717110249,1.23420824900189,"Lytic",179,"UHGV","J"
"108","Translation factors",13,4,13,4,7905,813,0.0675958111892303,0.334250474383302,0.30870912655746,1.69567996002452,"Lytic",17,"UHGV","J"
"109","Translation factors",1,0,1,0,322,456,0.414634146341463,Inf,4.24651162790698,2.08627820039476,"Temperate",1,"INPHARED","J"
"110","tRNA modification",80,25,80,25,7838,792,8.83056681996566e-06,0.323347792804287,0.3191699592384,1.64760322558687,"Lytic",105,"UHGV","J"
"111","tRNA modification",2,2,2,2,321,454,1,1.41433021806854,1.41368584758942,0.49946155686616,"Temperate",4,"INPHARED","J"
"112","Unknown function (S)",2114,150,2114,150,5804,667,1.1611882213929e-07,1.61961635653572,1.61568853813444,0.692149111581701,"Temperate",2264,"UHGV","S"
"113","Unknown function (S)",69,74,69,74,254,382,0.0744968258400783,1.40231964247712,1.40207803167152,0.487566643765665,"Temperate",143,"INPHARED","S"
