"","ID","gene_name","gene_desc","best_db","sporprot"
"1","K06284","abrB","transcriptional regulator of transition state genes","KEGG","sporulation_prot"
"2","K00974","cca","tRNA nucleotidyltransferase,maturation of the single-copy tRNACys,which lacks an encoded CCA 3 end","KEGG","sporulation_prot"
"3","K01449","cwlJ","spore coat protein,cell wall hydrolase","KEGG","sporulation_prot"
"4","K01142","exoA","apurinic/apyrimidinic endonuclease,multifunctional DNA-repair enzyme,important for spore dormance","KEGG","sporulation_prot"
"5","K01356","lexA","transcriptional repressor of the SOS regulon","KEGG","sporulation_prot"
"6","K03496","parA","ATPase,centromere-like function involved in forespore chromosome partitioning / negative regulation of [[category|SW.4.2 initiation,regulator of SMC complex dynamics","KEGG","sporulation_prot"
"7","K03497","parB","CTP hydrolase,chromosome positioning near the pole and transport through the polar septum / antagonist of SMC complex to the origin of replication,coordination of early steps in DNA replication with establishment of a medial division site","KEGG","sporulation_prot"
"8","K03086","sigA","RNA polymerase major sigma factor SigA","KEGG","sporulation_prot"
"9","K03091","sigH","RNA polymerase sigma factor SigH,not fully active in laboratory strains due to a mutation (V117A)","KEGG","sporulation_prot"
"10","K03664","smpB","tmRNA-binding protein","KEGG","sporulation_prot"
"11","K07699","spo0A","phosphorelay regulator,initiation of sporulation,coordinates DNA replication and initiation of sporulation by binding to sites close to the <i>oriC</i>","KEGG","sporulation_prot"
"12","K06381","spoIID","cell wall hydrolase (lytic transglycosylase),required for complete dissolution of the asymmetric septum","KEGG","sporulation_prot"
"13","K06283","spoIIID","transcriptional regulator (repressor or activator) of a subset of [3CB24D493B3282278B7DC61CE3C793DFA815F9E2|sigma E-dependent genes","KEGG","sporulation_prot"
"14","K03466","spoIIIE","ATP-dependent dsDNA translocase,resolution of chromosomal dimers after DNA replication,coordinates chromosome segregation and peptidoglycan remodeling during sporulation,transports the forespore chromosome across the sporulation septum","KEGG","sporulation_prot"
"15","K06412","spoVG","RNA-binding regulatory protein,negative effector of asymetric septation at the onset of sporulation","KEGG","sporulation_prot"
"16","K04769","spoVT","transcription activator and repressor of [5F24258282F3166B7696B9E9ABC1706E4D06C944-dependent genes","KEGG","sporulation_prot"
"17","K03698","yhaM","RNase,3 5 exoribonuclease","KEGG","sporulation_prot"
