"","ID","gene_name","gene_desc","best_db","sporprot"
"18","K00390","yitB","phospho-adenylylsulfate sulfotransferase","KEGG","sporulation_prot"
"19","K10979","ykoV","DNA-end-binding protein Ku,non-homologous end joining DNA repair","KEGG","sporulation_prot"
"20","K07175","ylaK","similar to phosphate starvation inducible protein [6BF4F99DEF2E032A8547B920086305775D04FACF","KEGG","sporulation_prot"
"21","K03469","ypeP","similar to RNase HI","KEGG","sporulation_prot"
"22","K02647","ysfB","similar to carbohydrate diacid transcriptional activator","KEGG","sporulation_prot"
"23","K02049","ytlC","similar to anion transport ABC transporter (ATP-binding protein)","KEGG","sporulation_prot"
"24","K10716","yugO","potassium channel protein (exporter)","KEGG","sporulation_prot"
"25","K00640","cysE","serine O-acetyltransferase","KEGG","sporulation_prot"
"26","K02343","dnaX","DNA polymerase  III (gamma and tau subunits) part of the clamp-loader complex and the replisome","KEGG","sporulation_prot"
"27","K07171","endoA","abrB","KEGG","sporulation_prot"
"28","K00820","glmS","glutamine-fructose-6-phosphate transaminase","KEGG","sporulation_prot"
"29","K07738","nrdR","negative regulator of transcription of the ribonucleotide reductase <i>nrd </i>operon","KEGG","sporulation_prot"
"30","K03657","pcrA","cca","KEGG","sporulation_prot"
"1312","COG0686","ald","Alanine dehydrogenase (includes sporulation protein SpoVN)","COG","sporulation_prot"
"2100","COG0700","spmB","Spore maturation protein SpmB (function unknown)","COG","sporulation_prot"
"3100","COG0784","cheY","CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F","COG","sporulation_prot"
"4100","COG1300","spoIIM","Stage II sporulation protein SpoIIM, component of the engulfment complex","COG","sporulation_prot"
"5100","COG1633","yhjR","Rubrerythrin, includes spore coat protein YhjR","COG","sporulation_prot"
"6100","COG1774","yaaT","Cell fate regulator YaaT, PSP1 superfamily (controls sporulation, competence, biofilm development)","COG","sporulation_prot"
"7100","COG1861","spsF","Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family","COG","sporulation_prot"
"8100","COG1873","ylmC","Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain","COG","sporulation_prot"
"9100","COG1994","spoIVFB","Zn-dependent protease (includes sporulation protein SpoIVFB)","COG","sporulation_prot"
"10100","COG2132","sufI","Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA)","COG","sporulation_prot"
"11100","COG2340","ykwD","Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain","COG","sporulation_prot"
"12100","COG2359","spoVS","Stage V sporulation protein SpoVS, predicted DNA-binding, AlbA superfamily","COG","sporulation_prot"
"1313","COG2385","spoIID","Peptidoglycan hydrolase (amidase) enhancer domain SpoIID","COG","sporulation_prot"
"1412","COG2715","spmA","Spore maturation protein SpmA (function unknown)","COG","sporulation_prot"
"1512","COG2718","yeaH","Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family","COG","sporulation_prot"
"1611","COG2719","spoVR","Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)","COG","sporulation_prot"
"1711","COG2755","tesA","Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK","COG","sporulation_prot"
"1811","COG3314","spoVV","Spore dipicolinate transporter SpoVV/YjiH/YlbJ, contains nucleoside recognition GATE domain","COG","sporulation_prot"
"1911","COG3546","cotJC","Mn-containing catalase (includes spore coat protein CotJC)","COG","sporulation_prot"
"2011","COG3621","pATA","Patatin-like phospholipase/acyl hydrolase, includes sporulation protein CotR","COG","sporulation_prot"
"2111","COG3679","ylbF","Cell fate regulator YlbF, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development)","COG","sporulation_prot"
"2211","COG3773","cwlJ","Cell wall hydrolase CwlJ, involved in spore germination","COG","sporulation_prot"
"2311","COG3854","spoIIIAA","Stage III sporulation protein SpoIIIAA","COG","sporulation_prot"
"2411","COG3858","sleL","Spore cortex hydrolase SleL/YaaH, N-acetylglucosaminidase of GH18 family","COG","sporulation_prot"
"2511","COG3874","ytfJ","Uncharacterized spore protein YtfJ","COG","sporulation_prot"
"2611","COG3980","spsG","Spore coat polysaccharide biosynthesis protein SpsG, predicted glycosyltransferase","COG","sporulation_prot"
"2711","COG4326","spo0M","Stage 0 sporulation-control protein Spo0M","COG","sporulation_prot"
"2811","COG4550","ymcA","Cell fate regulator YmcA, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development)","COG","sporulation_prot"
"2911","COG4641","spore maturation protein CgeB","Spore maturation protein CgeB","COG","sporulation_prot"
"3011","COG4846","ccdC","Cytochrome c biogenesis protein CcdC","COG","sporulation_prot"
"31","COG4862","mecA","Negative regulator MecA of genetic competence, sporulation and motility","COG","sporulation_prot"
"32","COG5018","kapD","3'-5' exonuclease KapD, inhibitor of KinA-controlled sporulation","COG","sporulation_prot"
"33","COG5337","cotH","Spore coat protein CotH","COG","sporulation_prot"
"34","COG5401","gerM","Spore germination protein GerM","COG","sporulation_prot"
"35","COG5577","cotF","Spore coat protein CotF","COG","sporulation_prot"
"36","COG5801","spo0A","Stage 0 sporulation initiation regulator Spo0A (response regulator, REC-HTH domains)","COG","sporulation_prot"
"37","COG5802","spo0B","Stage 0 sporulation initiation phosphotransferase Spo0B","COG","sporulation_prot"
"38","COG5803","spo0F","Stage 0 sporulation initiation response regulator Spo0F","COG","sporulation_prot"
"39","COG5804","spo0E","Stage 0 sporulation regulatory phosphatase Spo0E","COG","sporulation_prot"
"40","COG5805","kinA","Sporulation sensor histidine kinase A (Stage II sporulation protein SpoIIF/SpoIIJ)","COG","sporulation_prot"
"41","COG5806","kinB","Sporulation sensor histidine kinase B","COG","sporulation_prot"
"42","COG5807","kinC","Sporulation sensor histidine kinase C","COG","sporulation_prot"
"43","COG5808","kinD","Sporulation sensor histidine kinase D","COG","sporulation_prot"
"44","COG5809","kinE","Sporulation sensor histidine kinase E","COG","sporulation_prot"
"45","COG5810","kbaA","Sporulation protein KbaA, activator of histidine kinase KinB","COG","sporulation_prot"
"46","COG5811","sigE","Sporulation sigma factor SigE (mother cell-specific, SpoIIGB)","COG","sporulation_prot"
"47","COG5812","sigF","Sporulation sigma factor SigF (forespore-specific, SpoIIAC)","COG","sporulation_prot"
"48","COG5813","sigG","Sporulation sigma factor SigG (forespore-specific, SpoIIIG)","COG","sporulation_prot"
"49","COG5814","sigK","Sporulation sigma factor SigK (mother cell-specific, SpoIIIC/SpoIVCB)","COG","sporulation_prot"
"50","COG5815","spoIIAA","Stage II sporulation protein SpoIIAA (antagonist of anti-sigma F factor)","COG","sporulation_prot"
"51","COG5816","spoIIB","Stage II sporulation protein SpoIIB (spatial and temporal regulation of the dissolution of septal peptidoglycan during engulfment)","COG","sporulation_prot"
"52","COG5817","spoIIE","Stage II sporulation protein SpoIIE/SpoIIH (serine phosphatase - sigma-F activation)","COG","sporulation_prot"
"53","COG5818","spoIIGA","Stage II sporulation protein SpoIIGA (protease, processing of pro-sigma-E to active sigma-E)","COG","sporulation_prot"
"54","COG5819","spoIIP","Stage II sporulation protein SpoIIP, required for dissolution of the septal cell wall","COG","sporulation_prot"
"55","COG5820","spoIIQ","Stage II sporulation protein SpoIIQ, required for engulfement","COG","sporulation_prot"
"56","COG5821","spoIIQ2","Stage II sporulation protein SpoIIQ, clostridial version, metallopeptidase M23 family","COG","sporulation_prot"
"57","COG5822","spoIIR","Stage II sporulation protein SpoIIR, required for processing of pro-sigma-E","COG","sporulation_prot"
"58","COG5823","spoIIIAB","Stage III sporulation protein SpoIIIAB, component of the engulfment complex","COG","sporulation_prot"
"59","COG5824","spoIIIAC","Stage III sporulation protein SpoIIIAC, component of the engulfment complex","COG","sporulation_prot"
"60","COG5825","spoIIIAD","Stage III sporulation protein SpoIIIAD, component of the engulfment complex","COG","sporulation_prot"
"61","COG5826","spoIIIAE","Stage III sporulation protein SpoIIIAE, component of the engulfment complex","COG","sporulation_prot"
"62","COG5827","spoIIIAF","Stage III sporulation protein SpoIIIAF, component of the engulfment complex","COG","sporulation_prot"
"63","COG5828","spoIIIAG","Stage III sporulation protein SpoIIIAG, component of the engulfment complex","COG","sporulation_prot"
"64","COG5829","spoIIIAH","Stage III sporulation protein SpoIIIAH, component of the engulfment complex","COG","sporulation_prot"
"65","COG5830","spoIIID","Stage III sporulation protein SpoIIID, transcriptional regulator of sigma-E- and sigma-K-dependent genes","COG","sporulation_prot"
"66","COG5831","spoIVA","Stage IV sporulation protein SpoIVA, required for spore cortex formation and coat assembly","COG","sporulation_prot"
"67","COG5832","spoIVB","Stage IV sporulation protein SpoIVB, serine protease, degrades SpoIIQ, SpoIVFA","COG","sporulation_prot"
"68","COG5833","spoIVFA","Stage IV sporulation protein SpoIVFA, regulates SpoIVFB","COG","sporulation_prot"
"69","COG5834","spoVAA","Stage V sporulation protein SpoVAA, subunit of dipicolinate uptake complex","COG","sporulation_prot"
"70","COG5835","spoVAB","Stage V sporulation protein SpoVAB, subunit of dipicolinate uptake complex","COG","sporulation_prot"
"71","COG5836","spoVAC","Stage V sporulation protein SpoVAC, subunit of dipicolinate uptake complex","COG","sporulation_prot"
"72","COG5837","spoVAD","Stage V sporulation protein SpoVAD, subunit of dipicolinate uptake complex","COG","sporulation_prot"
"73","COG5838","spoVAEA","Stage V sporulation protein SpoVAEA, mutants lead to the production of immature spores","COG","sporulation_prot"
"74","COG5839","spoVAEB","Stage V sporulation protein SpoVAEB, subunit of dipicolinate uptake complex","COG","sporulation_prot"
"75","COG5840","spoVAF","Stage V sporulation protein SpoVAF, subunit of dipicolinate uptake complex, GerA superfamily","COG","sporulation_prot"
"76","COG5841","spoVB","Stage V sporulation protein SpoVB/SpoIIIF, required for spore cortex synthesis","COG","sporulation_prot"
"77","COG5842","dpaA","Dipicolinate synthase subunit A (sporulation protein SpoVFA)","COG","sporulation_prot"
"78","COG5843","dpaB","Dipicolinate synthase subunit B (sporulation protein SpoVFB)","COG","sporulation_prot"
"79","COG5844","spoVM","Stage V sporulation protein SpoVM, required for spore cortex and coat synthesis","COG","sporulation_prot"
"80","COG5845","spoVT","Stage V sporulation protein SpoVT, regulator of stationary/sporulation gene expression","COG","sporulation_prot"
"81","COG5846","spoVID","Stage VI sporulation protein SpoVID (LysM domain), required for assembly of the spore coat","COG","sporulation_prot"
"82","COG5847","spoVIF","Stage VI sporulation protein SpoVIF, required for heat resistance","COG","sporulation_prot"
"83","COG5848","bofA","SigmaK-processing regulatory protein BofA (Bypass-of-forespore protein A)","COG","sporulation_prot"
"84","COG5849","bofC","SigmaK checkpoint regulator BofC  (Bypass-of-forespore protein C)","COG","sporulation_prot"
"85","COG5850","rsfA","Prespore-specific transcriptional regulator RsfA","COG","sporulation_prot"
"86","COG5851","sda","Stage 0 sporulation inhibitor Sda, checkpoint for initiation of sporulation and replication","COG","sporulation_prot"
"87","COG5852","sspA/SspB/SspC/SspD","Small acid-soluble spore protein SspA/SspB/SspC/SspD (alpha/beta-type)","COG","sporulation_prot"
"88","COG5853","sspE","Small acid-soluble spore protein SspE (gamma-type)","COG","sporulation_prot"
"89","COG5854","sspF","Small acid-soluble spore protein SspF (alpha/beta-type)","COG","sporulation_prot"
"90","COG5855","sspH","Small acid-soluble spore protein SspH/YfjU","COG","sporulation_prot"
"91","COG5856","sspI","Small acid-soluble spore protein SspI","COG","sporulation_prot"
"92","COG5857","sspK","Small acid-soluble spore protein SspK","COG","sporulation_prot"
"93","COG5858","sspL","Small acid-soluble spore protein SspL","COG","sporulation_prot"
"94","COG5859","sspN","Small acid-soluble spore protein SspN","COG","sporulation_prot"
"95","COG5860","sspO","Small acid-soluble spore protein SspO/CotK","COG","sporulation_prot"
"96","COG5861","sspP","Small acid-soluble spore protein SspP/CotL","COG","sporulation_prot"
"97","COG5862","csgA","Small acid-soluble spore protein CsgA","COG","sporulation_prot"
"98","COG5863","tlp","Small acid-soluble spore protein Tlp (thioredoxin-like protein)","COG","sporulation_prot"
"99","COG5864","sASP","Small acid-soluble spore protein SAS2, clostridial type","COG","sporulation_prot"
"100","COG5865","csfB","Forespore-specific anti-sigma-G factor CsfB/Gin","COG","sporulation_prot"
"101","COG5866","yabG","Sporulation-specific protease YabG","COG","sporulation_prot"
"102","COG5868","yabP","Sporulation protein YabP","COG","sporulation_prot"
"103","COG5869","yabQ","Spore cortex formation membrane protein YabQ","COG","sporulation_prot"
"104","COG5870","ybaK","Uncharacterized sporulation protein YbaK, contains DUF2521 domain (not related to E. coli deacylase YbaK, COG2606)","COG","sporulation_prot"
"105","COG5871","yqfC","Spore cortex protein YqfC, YabP family","COG","sporulation_prot"
"106","COG5872","yqfD","Stage IV sporulation protein YqfD","COG","sporulation_prot"
"107","COG5873","yqzE","Uncharacterized sporulation protein YqzE","COG","sporulation_prot"
"108","COG5874","ytxC","Uncharacterized sporulation protein YtxC","COG","sporulation_prot"
"109","COG5876","uncharacterized sporulation protein YozQ","Uncharacterized sporulation protein YozQ","COG","sporulation_prot"
"110","COG5878","yyaC","Uncharacterized sporulation protein YyaC,contains DUF1256 domain","COG","sporulation_prot"
"111","COG5879","cotD","Spore coat protein CotD","COG","sporulation_prot"
"112","COG5880","cotE","Spore coat protein CotE","COG","sporulation_prot"
"113","COG5881","cotI","Spore coat protein CotI/CotS, protein kinase superfamily","COG","sporulation_prot"
"114","COG5882","cotJA","Spore coat protein CotJA, required for the assembly of CotJC","COG","sporulation_prot"
"115","COG5883","cotJB","Spore coat protein CotJB","COG","sporulation_prot"
"116","COG5884","cotN","Spore coat protein CotN/TasA","COG","sporulation_prot"
"117","COG5885","cotO","Spore coat protein CotO/YjbX","COG","sporulation_prot"
"118","COG5886","cotV","Spore coat protein CotV/CotX (outer spore coat)","COG","sporulation_prot"
"119","COG5887","cotW","Spore coat protein CotW (outer spore coat)","COG","sporulation_prot"
"120","COG5888","cotY","Spore coat protein CotY/CotZ (outer spore coat)","COG","sporulation_prot"
"121","COG5889","gerQ","Spore coat protein GerQ/YwdL (inner spore coat)","COG","sporulation_prot"
"122","COG5890","yhbB","Uncharacterized sporulation proteins YjcM and YhbB, contain C-terminal amidase domain","COG","sporulation_prot"
"123","COG5891","yheC","Spore coat protein YheC/YheD, ATP-grasp superfamily","COG","sporulation_prot"
"124","COG5892","ylbD","Spore coat protein YlbD, FlgN family","COG","sporulation_prot"
"125","COG5894","yppG","Spore coat protein YppG","COG","sporulation_prot"
"126","COG5895","ypzA","Uncharacterized sporulation protein YpzA, contains DUF2564 domain","COG","sporulation_prot"
"127","COG5896","yraG","Spore coat protein YraE/YraG","COG","sporulation_prot"
"128","COG5897","ysxE","Spore coat protein YsxE, aminoglycoside phosphotransferase family","COG","sporulation_prot"
"129","COG5898","yuzC","Spore coat protein YuzC (inner spore coat)","COG","sporulation_prot"
"130","COG5899","ywqH","Spore coat protein YwqH","COG","sporulation_prot"
"131","COG5900","yybI","Spore coat protein YybI (inner spore coat)","COG","sporulation_prot"
"132","COG5901","gerAA","Spore germination receptor GerABC, GerA subunit (L-alanine receptor)","COG","sporulation_prot"
"133","COG5902","gerAB","Spore germination receptor GerABC, GerB subunit (amino acid transporter)","COG","sporulation_prot"
"134","COG5903","gerAC","Spore germination receptor GerABC, GerC subunit","COG","sporulation_prot"
"135","COG5904","gerD","Spore germination receptor GerD","COG","sporulation_prot"
"136","COG5905","gerE","Spore transcriptional regulator GerE (stand-alone HTH domain)","COG","sporulation_prot"
"137","COG5906","gerPA","Spore germination protein GerPA/GerPF (inner spore coat)","COG","sporulation_prot"
"138","COG5907","gerPB","Spore germination protein GerPB, DUF2539 family (inner spore coat)","COG","sporulation_prot"
"139","COG5908","gerPC","Spore germination protein GerPC (inner spore coat)","COG","sporulation_prot"
"140","COG5909","gerPD","Spore germination protein GerPD (inner spore coat)","COG","sporulation_prot"
"141","COG5910","gerPE","Spore germination protein GerPE (inner spore coat)","COG","sporulation_prot"
"142","COG5911","gpr","Spore germination protease Gpr","COG","sporulation_prot"
"143","COG5912","coxA","Spore cortex protein CoxA (YrbB), YhcN/YlaJ family","COG","sporulation_prot"
"144","COG5914","ypeB","Spore germination protein YpeB, HAD superfamily, activates cortex-lytic enzyme SleB","COG","sporulation_prot"
"145","COG5916","yfkD","Uncharacterized sporulation protein YfkD","COG","sporulation_prot"
"146","COG5917","yjbA","Uncharacterized sporulation protein YjbA, contains UPF0736/DUF3603 domain","COG","sporulation_prot"
"147","COG5918","ymfJ","Uncharacterized sporulation protein YmfJ, contains DUF3243 domain","COG","sporulation_prot"
"148","COG5919","yodI","Uncharacterized sporulation protein YodI","COG","sporulation_prot"
"149","COG5920","yqfT","Uncharacterized sporulation protein YqfT, contains DUF2624 domain","COG","sporulation_prot"
"150","COG5921","yqfX","Uncharacterized sporulation protein YqfX, contains DUF308 domain","COG","sporulation_prot"
"151","COG5922","yqhG","Uncharacterized sporulation protein YqhG","COG","sporulation_prot"
"152","COG5923","yrzE","Uncharacterized sporulation membrane protein YrzE, contains DUF3792 domain","COG","sporulation_prot"
"153","COG5924","ytfI","Uncharacterized sporulation protein YtfI, contains DUF2953 domain","COG","sporulation_prot"
"154","COG5925","ytrH","Uncharacterized sporulation membrane protein YtrH/SpoVIGA","COG","sporulation_prot"
"155","COG5926","ytrI","Uncharacterized sporulation protein YtrI","COG","sporulation_prot"
"156","COG5928","spoIIT/YwmB","Sporulation protein SpoIIT/YwmB, DUF1779 family","COG","sporulation_prot"
"910","COG2002","abrB","Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module","COG","sporulation_prot"
"1010","COG0511","accB","Biotin carboxyl carrier protein","COG","sporulation_prot"
"1110","COG0439","accC","Biotin carboxylase","COG","sporulation_prot"
"1210","COG1309","acrR","DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA","COG","sporulation_prot"
"1310","COG4147","actP","Na+(or H+)/acetate symporter ActP","COG","sporulation_prot"
"1410","COG0123","acuC","Acetoin utilization deacetylase AcuC or a related deacetylase","COG","sporulation_prot"
"1510","COG2055","allD","Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family","COG","sporulation_prot"
"1610","COG0787","alr","Alanine racemase","COG","sporulation_prot"
"1710","COG1115","alsT","Na+/alanine symporter","COG","sporulation_prot"
"1810","COG0860","amiC","N-acetylmuramoyl-L-alanine amidase","COG","sporulation_prot"
"1910","COG1680","ampC","CubicO group peptidase, beta-lactamase class C family","COG","sporulation_prot"
"2010","COG0366","amyA","Glycosidase/amylase (phosphorylase)","COG","sporulation_prot"
"2110","COG1113","ansP","L-asparagine transporter or related permease","COG","sporulation_prot"
"2210","COG0639","apaH","Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family","COG","sporulation_prot"
"2310","COG1294","appB","Cytochrome bd-type quinol oxidase, subunit 2","COG","sporulation_prot"
"2410","COG1271","appC","Cytochrome bd-type quinol oxidase, subunit 1","COG","sporulation_prot"
"2510","COG4608","appF","ABC-type oligopeptide transport system, ATPase component","COG","sporulation_prot"
"2610","COG1404","aprE","Serine protease, subtilisin family","COG","sporulation_prot"
"2710","COG2814","araJ","Predicted arabinose efflux permease AraJ, MFS family","COG","sporulation_prot"
"2810","COG0624","argE","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase","COG","sporulation_prot"
"2910","COG1055","arsB","Na+/H+ antiporter NhaD or related arsenite permease","COG","sporulation_prot"
"3010","COG0136","asd","Aspartate-semialdehyde dehydrogenase","COG","sporulation_prot"
"319","COG0367","asnB","Asparagine synthetase B (glutamine-hydrolyzing)","COG","sporulation_prot"
"321","COG2057","atoA","Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit","COG","sporulation_prot"
"331","COG2204","atoC","DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains","COG","sporulation_prot"
"341","COG1788","atoD","Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit","COG","sporulation_prot"
"351","COG1182","azoR","FMN-dependent NADH-azoreductase","COG","sporulation_prot"
"361","COG1215","bcsA","Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase","COG","sporulation_prot"
"371","COG3424","bH0617","Predicted naringenin-chalcone synthase","COG","sporulation_prot"
"381","COG0161","bioA","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","COG","sporulation_prot"
"391","COG1960","caiA","Acyl-CoA dehydrogenase related to the alkylation response protein AidB","COG","sporulation_prot"
"401","COG1024","caiD","Enoyl-CoA hydratase/carnithine racemase","COG","sporulation_prot"
"411","COG1857","cas7","CRISPR-Cas system type I effector complex subunit Cas7,  RAMP superfamily","COG","sporulation_prot"
"421","COG0517","cBS","CBS domain","COG","sporulation_prot"
"431","COG0785","ccdA","Cytochrome c biogenesis protein CcdA","COG","sporulation_prot"
"441","COG1131","ccmA","ABC-type multidrug transport system, ATPase component","COG","sporulation_prot"
"451","COG0726","cDA1","Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family","COG","sporulation_prot"
"461","COG1793","cDC9","ATP-dependent DNA ligase","COG","sporulation_prot"
"471","COG1455","celB","Phosphotransferase system cellobiose-specific component IIC","COG","sporulation_prot"
"481","COG1486","celF","Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase","COG","sporulation_prot"
"491","COG0387","chaA","Cation (Ca2+/Na+/K+)/H+ antiporter ChaA","COG","sporulation_prot"
"501","COG2059","chrA","Chromate transport protein ChrA","COG","sporulation_prot"
"511","COG3290","citA","Sensor histidine kinase DipB regulating citrate/malate metabolism","COG","sporulation_prot"
"521","COG2197","citB","DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains","COG","sporulation_prot"
"531","COG2851","citM","Mg2+/citrate symporter","COG","sporulation_prot"
"541","COG0542","clpA","ATP-dependent Clp protease, ATP-binding subunit ClpA","COG","sporulation_prot"
"551","COG0740","clpP","ATP-dependent protease ClpP, protease subunit","COG","sporulation_prot"
"561","COG1502","cls","Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase","COG","sporulation_prot"
"571","COG0452","coaBC","Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC","COG","sporulation_prot"
"581","COG1457","codB","Purine-cytosine permease or related protein","COG","sporulation_prot"
"591","COG4465","codY","GTP-sensing pleiotropic transcriptional regulator CodY","COG","sporulation_prot"
"601","COG0561","cof","Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases","COG","sporulation_prot"
"611","COG1809","comA","Phosphosulfolactate synthase, CoM biosynthesis protein A","COG","sporulation_prot"
"621","COG2045","comB","Phosphosulfolactate phosphohydrolase or related enzyme","COG","sporulation_prot"
"631","COG4585","comP","Signal transduction histidine kinase ComP","COG","sporulation_prot"
"641","COG1409","cpdA","3',5'-cyclic AMP phosphodiesterase CpdA","COG","sporulation_prot"
"651","COG0699","crfC","Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)","COG","sporulation_prot"
"661","COG1612","ctaA","Heme A synthase","COG","sporulation_prot"
"671","COG0793","ctpA","C-terminal processing protease CtpA/Prc, contains a PDZ domain","COG","sporulation_prot"
"681","COG5632","cwlA","N-acetylmuramoyl-L-alanine amidase CwlA","COG","sporulation_prot"
"691","COG2124","cypX","Cytochrome P450","COG","sporulation_prot"
"701","COG0529","cysC","Adenylylsulfate kinase or related kinase","COG","sporulation_prot"
"711","COG0175","cysD","3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme","COG","sporulation_prot"
"721","COG0369","cysJ","Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases","COG","sporulation_prot"
"731","COG1686","dacC","D-alanyl-D-alanine carboxypeptidase","COG","sporulation_prot"
"741","COG0665","dadA","Glycine/D-amino acid oxidase (deaminating)","COG","sporulation_prot"
"751","COG0329","dapA","4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase","COG","sporulation_prot"
"761","COG3069","dcuC","C4-dicarboxylate transporter DcuC","COG","sporulation_prot"
"771","COG0265","degQ","Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain","COG","sporulation_prot"
"781","COG0818","dgkA","Diacylglycerol kinase","COG","sporulation_prot"
"791","COG2404","dhhP","Oligoribonuclease NrnA/c-di-AMP phosphodiesterase DhhP, DHH superfamily","COG","sporulation_prot"
"801","COG1624","disA","c-di-AMP synthetase, contains DisA_N domain","COG","sporulation_prot"
"811","COG1623","disA","c-di-AMP synthetase DisA, contains DisA_N, linker and DNA-binding domains","COG","sporulation_prot"
"821","COG3599","divIVA","Cell division septum initiation protein DivIVA, interacts with FtsZ and MinD","COG","sporulation_prot"
"831","COG1734","dksA","RNA polymerase-binding transcription factor DksA","COG","sporulation_prot"
"841","COG2362","dppA","D-aminopeptidase","COG","sporulation_prot"
"851","COG0601","dppB","ABC-type dipeptide/oligopeptide/nickel transport system, permease component","COG","sporulation_prot"
"861","COG1173","dppC","ABC-type dipeptide/oligopeptide/nickel transport system, permease component","COG","sporulation_prot"
"871","COG0444","dppD","ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component","COG","sporulation_prot"
"881","COG1495","dsbB","Disulfide bond formation protein DsbB","COG","sporulation_prot"
"891","COG1651","dsbG","Protein thiol-disulfide isomerase DsbC","COG","sporulation_prot"
"901","COG4473","ecsB","Predicted ABC-type exoprotein transport system, permease component","COG","sporulation_prot"
"911","COG0148","eno","Enolase","COG","sporulation_prot"
