"","COGlet","ID","gene_name","gene_desc","gene_cat","COG.broad","Cog.cat","Nog.abbrev","Nog.new","source","DetailedCat"
"132","C","COG4459","NapE","Periplasmic nitrate reductase system, NapE component","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"133","C","COG1290","QcrB/PetB","Cytochrome b subunit of the bc complex","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"134","C","COG0282","AckA","Acetate kinase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"135","C","COG2871","NqrF","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF","Na+-translocating NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"136","C","COG3125","CyoD","Heme/copper-type cytochrome/quinol oxidase, subunit 4","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"137","C","COG0567","SucA","2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes","TCA cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"138","C","COG4039","EhaD","Energy-converting hydrogenase Eha subunit D","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"139","C","COG5722","PsbH","Photosystem II reaction center 10 kDa phosphoprotein, PsbH","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"140","C","COG5760","PetP","Cyanobacterial/red algae cytochrome b6f complex subunit PetP (= Ycf86), DUF2862 (PF11061) family","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"141","C","COG4035","EhaL","Energy-converting hydrogenase Eha subunit L","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"142","C","COG0644","FixC","Dehydrogenase (flavoprotein)","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"143","C","COG0778","NfnB","Nitroreductase","Pyrimidine degradation","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"144","C","COG4042","EhaA","Energy-converting hydrogenase Eha subunit A","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"145","C","COG0538","Icd","Isocitrate dehydrogenase","TCA cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"146","C","COG5765","Ycf35","Uncharacterized cyanobacterial/chloroplast stress-induced protein Ycf35, DUF1257 domain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"147","C","COG5762","PM23","Uncharacterized cyanobacterial/plant protein PM23 (seed maturation protein), contains DUF760 (PF05542) domain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"148","C","COG0374","HyaB","Ni,Fe-hydrogenase I large subunit","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"149","C","COG1795","Fae","Formaldehyde-activating enzyme (5,6,7,8-tetrahydromethanopterin hydrolyase)","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"150","C","COG5678","PetA","Cytochrome b6f complex cytochrome f subunit, PetA","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"151","C","COG5756","Atp1","FoF1-type ATP synthase subunit Atp1, cyanobacterial family","FoF1-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"152","C","COG1454","EutG","Alcohol dehydrogenase, class IV","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"153","C","COG0377","NuoB","NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase","NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
