"","COGlet","ID","gene_name","gene_desc","gene_cat","COG.broad","Cog.cat","Nog.abbrev","Nog.new","source","DetailedCat"
"1","0","NO_HIT","NO_HIT","NO_HIT","NO_HIT","POORLY CHARACTERIZED","No hits","No hits (0)","Unknown (S, No Hits)","COG","No hits (0)"
"2","A","COG5186","PAP1","Poly(A) polymerase Pap1","unknown function","INFORMATION STORAGE AND PROCESSING","RNA processing and modification","RNA (A)","Information processing (ALBY)","COG","RNA (A)"
"3","A","COG5180","PBP1","PAB1-binding protein, interacts with poly(A)-binding protein","unknown function","INFORMATION STORAGE AND PROCESSING","RNA processing and modification","RNA (A)","Information processing (ALBY)","COG","RNA (A)"
"4","A","COG0430","RCL1","RNA 3'-terminal phosphate cyclase","unknown function","INFORMATION STORAGE AND PROCESSING","RNA processing and modification","RNA (A)","Information processing (ALBY)","COG","RNA (A)"
"5","A","COG4085","YhcR","DNA/RNA endonuclease YhcR, contains UshA esterase domain","unknown function","INFORMATION STORAGE AND PROCESSING","RNA processing and modification","RNA (A)","Information processing (ALBY)","COG","RNA (A)"
"6","A","COG1949","Orn","Oligoribonuclease (3'-5' exoribonuclease)","unknown function","INFORMATION STORAGE AND PROCESSING","RNA processing and modification","RNA (A)","Information processing (ALBY)","COG","RNA (A)"
"7","B","COG2036","HHT1","Archaeal histone H3/H4","unknown function","INFORMATION STORAGE AND PROCESSING","Chromatin structure and dynamics","Chromatin (B)","Information processing (ALBY)","COG","Chromatin (B)"
"8","B","COG5531","Rsc6","DNA-binding SWIB/MDM2 domain","unknown function","INFORMATION STORAGE AND PROCESSING","Chromatin structure and dynamics","Chromatin (B)","Information processing (ALBY)","COG","Chromatin (B)"
"9","C","COG1845","CyoC","Heme/copper-type cytochrome/quinol oxidase, subunit 3","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"10","C","COG5775","Ccr2","Thylakoid membrane protein DAC/CCR2, involved in assembly of b6/f complex and response to cold stress, DUF3007 (PF11460) family","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"11","C","COG4237","HyfE","Hydrogenase-4 membrane subunit HyfE","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"12","C","COG1144","PorD","Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit","Pyruvate oxidation","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"13","C","COG0674","PorA","Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit","Pyruvate oxidation","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"14","C","COG5736","Psb27","Photosystem II reaction center 11 kD protein, Psb27","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"15","C","COG1584","SatP","Succinate-acetate transporter SatP","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"16","C","COG5737","PsbU","Photosystem II 12 kDa extrinsic protein PsbU","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"17","C","COG0838","NuoA","NADH:ubiquinone oxidoreductase subunit 3 (chain A)","NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"18","C","COG1017","Hmp","Hemoglobin-like flavoprotein","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"19","C","COG5777","Pro0498","Uncharacterized cyanobacterial/plant membrane protein Pro0498, contains N-terminal TPR repeats","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"20","C","COG5727","PsbM","Photosystem II reaction center protein M, PsbM","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"21","C","COG1227","PPX1","Inorganic pyrophosphatase/exopolyphosphatase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"22","C","COG5763","Ycf20","Cyanobacterial/chloroplast protein Ycf20, involved in dissipation of absorbed light energy, DUF565 (PF04483) domain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"23","C","COG1229","FwdA","Formylmethanofuran dehydrogenase subunit A","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"24","C","COG5336","AtpZ","FoF1-type ATP synthase AtpZ/Atp1/AtpQ subunit, putative Ca2+/Mg2+ transporter","FoF1-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"25","C","COG5731","PsbT","Photosystem II reaction center protein T, PsbT/Ycf8","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"26","C","COG1252","Ndh","NADH dehydrogenase, FAD-containing subunit","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"27","C","COG5771","Pro0776","Uncharacterized cyanobacterial/chloroplast protein Pro0776, algal eyespot protein with methylated Arg, DUF1350 (PF07082) domain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"28","C","COG1142","HycB","Fe-S-cluster-containing hydrogenase component 2","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"29","C","COG0578","GlpA","Glycerol-3-phosphate dehydrogenase","Isoprenoid biosynthesis","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"30","C","COG5728","PsbN","Photosystem II reaction center protein N, PsbN","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"31","C","COG2209","NqrE","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE","Na+-translocating NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"32","C","COG1927","Mtd","F420-dependent methylenetetrahydromethanopterin dehydrogenase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"33","C","COG5772","Tic21","Cyanobacterial/chloroplast membrane protein Tic21, involved in chloroplast protein import, DUF3611 (PF12263) domain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"34","C","COG0055","AtpD","FoF1-type ATP synthase, beta subunit","FoF1-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"35","C","COG2414","YdhV","Aldehyde:ferredoxin oxidoreductase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"36","C","COG5773","Pro0765","Uncharacterized cyanobacterial/plant membrane protein Pro0765, DUF3082 (PF11282) domain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"37","C","COG1838","FumA","Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain","TCA cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"38","C","COG2086","FixA","Electron transfer flavoprotein, alpha and beta subunits","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"39","C","COG0546","Gph","Phosphoglycolate phosphatase, HAD superfamily","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"40","C","COG3426","Buk","Butyrate kinase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"41","C","COG1951","TtdA","Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain","TCA cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"42","C","COG5729","PsbO","Photosystem II reaction center Mn-stabilizing protein, PsbO","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"43","C","COG3262","HycE1","Ni,Fe-hydrogenase III component G","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"44","C","COG0713","NuoK","NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)","NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"45","C","COG1182","AzoR","FMN-dependent NADH-azoreductase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"46","C","COG0508","AceF","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component","Pyruvate oxidation","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"47","C","COG0426","NorV","Flavorubredoxin","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"48","C","COG5474","CRR6","NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific assembly factor CRR6","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"49","C","COG1141","Fer","Ferredoxin","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"50","C","COG1053","SdhA","Succinate dehydrogenase/fumarate reductase, flavoprotein subunit","TCA cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"51","C","COG0348","NapH","Polyferredoxin NapH","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"52","C","COG0056","AtpA","FoF1-type ATP synthase, alpha subunit","FoF1-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"53","C","COG1347","NqrD","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD","Na+-translocating NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"54","C","COG5770","Ycf66","Uncharacterized cyanobacterial protein with Ycf66_N domain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"55","C","COG1009","NuoL","Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit","NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"56","C","COG2191","FwdE","Formylmethanofuran dehydrogenase subunit E","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"57","C","COG5687","CpcA","Phycocyanin alpha chain, CpcA/CpeB","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"58","C","COG5757","AtpR","Na+-translocating membrane ATPase (N-ATPase) assembly subunit AtpR","FoF1-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"59","C","COG4078","EhaH","Energy-converting hydrogenase Eha subunit H","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"60","C","COG1143","NuoI","Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)","NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"61","C","COG5776","PH","Bacterial PH (pleckstrin homology) domain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"62","C","COG2010","CccA","Cytochrome c, mono- and diheme variants","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"63","C","COG5769","Tic20","Cyanobacterial/chloroplast membrane protein Tic20/Ycf60, involved in chloroplast protein import","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"64","C","COG3808","OVP1","Na+ or H+-translocating membrane pyrophosphatase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"65","C","COG2851","CitM","Mg2+/citrate symporter","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"66","C","COG2041","MsrP","Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"67","C","COG5730","PsbP","Photosystem II reaction center protein P, PsbP","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"68","C","COG4802","FtrB","Ferredoxin-thioredoxin reductase, catalytic subunit","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"69","C","COG1049","AcnB","Aconitase B","TCA cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"70","C","COG4231","IorA","TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"71","C","COG5726","PsbL","Photosystem II reaction center protein L, PsbL","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"72","C","COG5685","ApcB","Allophycocyanin beta chain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"73","C","COG1625","NifB","Fe-S oxidoreductase, related to NifB/MoaA family","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"74","C","COG2352","Ppc","Phosphoenolpyruvate carboxylase","Urea cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"75","C","COG0839","NuoJ","NADH:ubiquinone oxidoreductase subunit 6 (chain J)","NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"76","C","COG1969","HyaC","Ni,Fe-hydrogenase I cytochrome b subunit","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"77","C","COG0022","AcoB","Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit","Pyruvate oxidation","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"78","C","COG2080","CutS","Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family","Non-phosphorylated Entner-Doudoroff pathway","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"79","C","COG3181","TctC","Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"80","C","COG1007","NuoN","NADH:ubiquinone oxidoreductase subunit 2 (chain N)","NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"81","C","COG1153","FwdD","Formylmethanofuran dehydrogenase subunit D","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"82","C","COG2013","AIM24","AIM24 protein, required for mitochondrial respiration","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"83","C","COG5681","PetL","Cytochrome b6f complex subunit VI, PetL/Ycf7","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"84","C","COG5672","NdhM","NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit M","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"85","C","COG0240","GpsA","Glycerol-3-phosphate dehydrogenase","Isoprenoid biosynthesis","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"86","C","COG1883","OadB","Na+-transporting oxaloacetate/methylmalonyl-CoA decarboxylase, beta subunit","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"87","C","COG1269","NtpI","Archaeal/vacuolar-type H+-ATPase subunit I/STV1","A/V-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"88","C","COG1394","NtpD","Archaeal/vacuolar-type H+-ATPase subunit D/Vma8","A/V-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"89","C","COG1592","YotD","Rubrerythrin","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"90","C","COG4041","EhaB","Energy-converting hydrogenase Eha subunit B","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"91","C","COG5733","PsbX","Photosystem II reaction center protein X, PsbX","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"92","C","COG1436","NtpF","Archaeal/vacuolar-type H+-ATPase subunit F/Vma7","A/V-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"93","C","COG3427","CoxG","Carbon monoxide dehydrogenase subunit CoxG","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"94","C","COG0039","Mdh","Malate/lactate dehydrogenase","TCA cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"95","C","COG3794","PetE","Plastocyanin","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"96","C","COG1251","NirB","NAD(P)H-nitrite reductase, large subunit","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"97","C","COG5723","PsbI","Photosystem II reaction center protein I, PsbI, oxygen-evolving center","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"98","C","COG3260","HycG","Ni,Fe-hydrogenase III small subunit","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"99","C","COG5761","Cp12","Cyanobacterial/chloroplast protein CP12, regulates Calvin cycle by forming a complex with GAPDH and phosphoribulokinase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"100","C","COG3005","NapC","Tetraheme cytochrome c subunit NapC of nitrate or TMAO reductase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"101","C","COG5671","NdhL","NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit L","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"102","C","COG0221","Ppa","Inorganic pyrophosphatase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"103","C","COG5735","PsbZ","Photosystem II reaction center protein Z, PsbZ/Ycf9","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"104","C","COG3052","CitD","Acyl-carrier protein (citrate lyase gamma subunit)","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"105","C","COG2764","PhnB","Zn-dependent glyoxalase, PhnB family","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"106","C","COG1151","Hcp","Hydroxylamine reductase (hybrid-cluster protein)","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"107","C","COG1005","NuoH","NADH:ubiquinone oxidoreductase subunit 1 (chain H)","NADH dehydrogenase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"108","C","COG3053","CitC","Citrate lyase synthetase CitC","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"109","C","COG5682","PetM","Cytochrome b6f complex subunit VII, PetM/Ycf31","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"110","C","COG1038","PycA","Pyruvate carboxylase","Urea cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"111","C","COG4659","RnfG","Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit","Na+-translocating Fd:NADH oxidoreductase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"112","C","COG5724","PsbJ","Photosystem II reaction center protein J, PsbJ","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"113","C","COG3474","Cyc7","Cytochrome c2","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"114","C","COG1390","NtpE","Archaeal/vacuolar-type H+-ATPase subunit E/Vma4","A/V-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"115","C","COG2037","Ftr","Formylmethanofuran:tetrahydromethanopterin formyltransferase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"116","C","COG0045","SucC","Succinyl-CoA synthetase, beta subunit","TCA cycle","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"117","C","COG3312","AtpI","FoF1-type ATP synthase accessory protein AtpI","FoF1-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"118","C","COG0712","AtpH","FoF1-type ATP synthase, delta subunit","FoF1-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"119","C","COG5766","Ycf36","Uncharacterized cyanobacterial/chloroplast membrane protein Ycf36, DUF1230 (PF06799) domain","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"120","C","COG0388","Nit2","Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"121","C","COG2440","FixX","Ferredoxin-like protein FixX","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"122","C","COG0224","AtpG","FoF1-type ATP synthase, gamma subunit","FoF1-type ATP synthase","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"123","C","COG5725","PsbK","Photosystem II reaction center protein K, PsbK","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"124","C","COG5680","PetG","Cytochrome b6f complex subunit V, PetG","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"125","C","COG1036","AfpA","Archaeal flavoprotein","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"126","C","COG1622","CyoA","Heme/copper-type cytochrome/quinol oxidase, subunit 2","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"127","C","COG2864","FdnI","Cytochrome b subunit of formate dehydrogenase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"128","C","COG5734","PsbY","Photosystem II reaction center protein Y, PsbY","Photosystem II","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"129","C","COG2421","FmdA","Acetamidase/formamidase","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"130","C","COG2025","FixB","Electron transfer flavoprotein, alpha subunit FixB","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
"131","C","COG0401","YqaE","Membrane potential modulator PMP3/YqaE, plasma membrane proteolipid 3 (PMP3)/Esi3/RCI2/UPF0057 family","unknown function","METABOLISM","Energy production and conversion","Energy (C)","Energy (C)","COG","Energy (C)"
