L1,L2,L3,ID,Function,EC,Gene
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00134,Glyceraldehyde 3-phosphate dehydrogenase,1.2.1.12,"GAPDH, gapA"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K10705,"Glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",1.2.1.12,GAPDHS
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00150,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)),1.2.1.59,gap2
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00927,Phosphoglycerate kinase,2.7.2.3,"PGK, pgk"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01834,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",5.4.2.11,"PGAM, gpmA"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K15634,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",5.4.2.11,gpmB
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K15633,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",5.4.2.12,gpmI
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K15635,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",5.4.2.12,apgM
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01689,Enolase,4.2.1.11,"ENO, eno"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00873,Pyruvate kinase,2.7.1.40,"PK, pyk"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K12406,Pyruvate kinase isozymes R/L,2.7.1.40,PKLR
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01006,"Pyruvate, orthophosphate dikinase",2.7.9.1,ppdK
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01007,"Pyruvate, water dikinase",2.7.9.2,"pps, ppsA"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00163,Pyruvate dehydrogenase E1 component,1.2.4.1,aceE
