"","gtdb_f","f_spor","ID","GTDB_tax"
"14","Acidaminococcaceae",FALSE,"Rampelli_Norman_18_NODE_1908_length_7431_cov_57.931128","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"15","Acidaminococcaceae",FALSE,"Ma_2019_SRR341706_NODE_703_length_23519_cov_4.514874","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"16","Acidaminococcaceae",FALSE,"Norman_145_NODE_36_length_5007_cov_246.466478","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"17","Acidaminococcaceae",FALSE,"Rampelli_Norman_20_NODE_4283_length_4979_cov_11.078798","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"18","Acidaminococcaceae",FALSE,"uvig_123983","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
"19","Acidaminococcaceae",FALSE,"Ma_2019_SRR413703_NODE_844_length_20513_cov_2.269137","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"20","Acidaminococcaceae",FALSE,"uvig_215272","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"21","Acidaminococcaceae",FALSE,"Zuo_2018_SRR5677812_NODE_9_length_43994_cov_423.710166","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"22","Acidaminococcaceae",FALSE,"Norman_68_NODE_52_length_5088_cov_128.590105","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"23","Acidaminococcaceae",FALSE,"Han_2018_ERR1398154_NODE_3615_length_5748_cov_13.689268","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"24","Acidaminococcaceae",FALSE,"uvig_281793","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
"25","Acidaminococcaceae",FALSE,"Norman_110_NODE_17_length_5097_cov_13.353828","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"26","Acidaminococcaceae",FALSE,"Draper_2018_SRR6914084_NODE_69_length_5006_cov_24.095132","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"27","Acidaminococcaceae",FALSE,"Han_2018_ERR1398182_NODE_651_length_21995_cov_11.584184","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"28","Acidaminococcaceae",FALSE,"Draper_2018_SRR6914090_NODE_32_length_5090_cov_827.880040","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"29","Acidaminococcaceae",FALSE,"uvig_221509","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
"30","Acidaminococcaceae",FALSE,"Ma_2019_SRR341718_NODE_1318_length_11798_cov_2.674955","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"31","Acidaminococcaceae",FALSE,"Ma_2019_SRR413702_NODE_522_length_40987_cov_7.041019","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"32","Acidaminococcaceae",FALSE,"Monaco_MBA1133_NODE_1826_length_5098_cov_6.940710","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"33","Acidaminococcaceae",FALSE,"Ma_2019_SRR341602_NODE_538_length_21050_cov_1.885639","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"34","Acidaminococcaceae",FALSE,"Han_2018_ERR1398260_NODE_360_length_36939_cov_4.269602","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"35","Acidaminococcaceae",FALSE,"Ma_2019_SRR413754_NODE_95_length_131235_cov_28.992263","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"36","Acidaminococcaceae",FALSE,"Norman_52_NODE_39_length_8538_cov_2376.265826","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"37","Acidaminococcaceae",FALSE,"uvig_237090","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA"
"38","Acidaminococcaceae",FALSE,"Ma_2019_SRR413723_NODE_502_length_31276_cov_2.701899","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"39","Acidaminococcaceae",FALSE,"Ma_2019_SRR341722_NODE_293_length_40960_cov_9.274856","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"40","Acidaminococcaceae",FALSE,"Kang_0027_ST001_A_NODE_21_length_44057_cov_55.958093","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"41","Acidaminococcaceae",FALSE,"uvig_325194","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"42","Acidaminococcaceae",FALSE,"Han_2018_ERR1398257_NODE_2334_length_8136_cov_4.037743","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"43","Acidaminococcaceae",FALSE,"uvig_282819","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"44","Acidaminococcaceae",FALSE,"uvig_596352","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
