"","gene_name","Temperate","Lytic","a","c","b","d","p_two_sided","OR","OR_cc","plot_OR","direction","prevalence","dataset","COGlet","fisher_test"
"113","ytcA",0,1,0,1,42,237,1,0,1.86274509803922,0.897430266359452,"Lytic",1,"INPHARED","M","NonSporBacil_Lifestyle"
"114","ytcA",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","M","NonSporBacil_Lifestyle"
"115","ytdA",0,1,0,1,42,237,1,0,1.86274509803922,0.897430266359452,"Lytic",1,"INPHARED","M","NonSporBacil_Lifestyle"
"116","ytlA",2,0,2,0,507,43,1,Inf,0.428571428571429,1.22239242133645,"Temperate",2,"UHGV","P","NonSporBacil_Lifestyle"
"117","ytlC",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","P","NonSporBacil_Lifestyle"
"118","yugP",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","O","NonSporBacil_Lifestyle"
"119","yugS",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","R","NonSporBacil_Lifestyle"
"120","yugT",12,1,12,1,497,42,1,1.01408450704225,0.711892797319933,0.490268090239741,"Temperate",13,"UHGV","G","NonSporBacil_Lifestyle"
"121","yugT",2,0,2,0,40,238,0.0220430107526882,Inf,29.4444444444444,4.87992354800825,"Temperate",2,"INPHARED","G","NonSporBacil_Lifestyle"
"122","yutG",0,9,0,9,42,229,0.364020469580235,0,0.28421052631579,1.81496810616748,"Lytic",9,"INPHARED","I","NonSporBacil_Lifestyle"
"123","yveA",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","E","NonSporBacil_Lifestyle"
"124","ywbA",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","G","NonSporBacil_Lifestyle"
"125","ywoD",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","S","NonSporBacil_Lifestyle"
"126","ywrK",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","P","NonSporBacil_Lifestyle"
