"","gene_name","Temperate","Lytic","a","c","b","d","p_two_sided","OR","OR_cc","plot_OR","direction","prevalence","dataset","COGlet","fisher_test"
"1","aBC3535",1,0,1,0,2191,136,1,Inf,0.186858316221766,2.41998332188365,"Temperate",1,"UHGV","M","SporBacil_Lifestyle"
"2","abrB",13,0,13,0,93,172,2.22423918999163e-06,Inf,49.8128342245989,5.63844559394136,"Temperate",13,"INPHARED","S","SporBacil_Lifestyle"
"3","abrB",69,0,69,0,2123,136,0.0318905456675807,Inf,8.93501295031787,3.15946982029596,"Temperate",69,"UHGV","S","SporBacil_Lifestyle"
"4","appB",1,0,1,0,2191,136,1,Inf,0.186858316221766,2.41998332188365,"Temperate",1,"UHGV","S","SporBacil_Lifestyle"
"5","appF",0,1,0,1,2192,135,0.0584192439862543,0,0.0206005321170658,5.60117458669938,"Lytic",1,"UHGV","V","SporBacil_Lifestyle"
"6","asnO",1,0,1,0,2191,136,1,Inf,0.186858316221766,2.41998332188365,"Temperate",1,"UHGV","E","SporBacil_Lifestyle"
"7","bdbC",4,0,4,0,102,172,0.0203985542320556,Inf,15.1463414634146,3.9208974536024,"Temperate",4,"INPHARED","O","SporBacil_Lifestyle"
"8","clpC",5,1,5,1,2187,135,0.303419128882037,0.308641975308642,0.22712380952381,2.13844914233704,"Lytic",6,"UHGV","O","SporBacil_Lifestyle"
"9","cotJB",1,0,1,0,2191,136,1,Inf,0.186858316221766,2.41998332188365,"Temperate",1,"UHGV","D","SporBacil_Lifestyle"
"10","cotJC",102,0,102,0,2090,136,0.00379254212070696,Inf,13.3855536952882,3.74260491238116,"Temperate",102,"UHGV","P","SporBacil_Lifestyle"
"11","cwlA",1,0,1,0,2191,136,1,Inf,0.186858316221766,2.41998332188365,"Temperate",1,"UHGV","M","SporBacil_Lifestyle"
"12","cwlA",0,14,0,14,106,158,0.00123555212226888,0,0.0513194107171766,4.284351585214,"Lytic",14,"INPHARED","M","SporBacil_Lifestyle"
"13","cwlD",1,0,1,0,2191,136,1,Inf,0.186858316221766,2.41998332188365,"Temperate",1,"UHGV","M","SporBacil_Lifestyle"
"14","cwlJ",1,0,1,0,105,172,0.381294964028777,Inf,4.90521327014218,2.2943158636795,"Temperate",1,"INPHARED","S","SporBacil_Lifestyle"
"15","cwlJ",95,36,95,36,2097,100,1.04590506042196e-16,0.125841148730991,0.125364507649354,2.99579913499253,"Lytic",131,"UHGV","S","SporBacil_Lifestyle"
"16","dacB",1,0,1,0,2191,136,1,Inf,0.186858316221766,2.41998332188365,"Temperate",1,"UHGV","M","SporBacil_Lifestyle"
"17","dacF",6,0,6,0,2186,136,1,Inf,0.811571003887491,0.301210774020263,"Temperate",6,"UHGV","M","SporBacil_Lifestyle"
"18","ecsA",4,0,4,0,2188,136,1,Inf,0.56134338588074,0.833044526276882,"Temperate",4,"UHGV","V","SporBacil_Lifestyle"
