"","gene_name","Temperate","Lytic","a","c","b","d","p_two_sided","OR","OR_cc","plot_OR","direction","prevalence","dataset","COGlet","fisher_test"
"1","aBC3535",1,0,1,0,5411,387,1,Inf,0.214820290122886,2.21879783025487,"Temperate",1,"UHGV","M","SporBacil_Lifestyle"
"2","abrB",14,0,14,0,254,233,0.000151443524016104,Inf,26.6070726915521,4.73373788876154,"Temperate",14,"INPHARED","S","SporBacil_Lifestyle"
"3","abrB",102,0,102,0,5310,387,0.00187881280892594,Inf,14.9585726391112,3.90290061338027,"Temperate",102,"UHGV","S","SporBacil_Lifestyle"
"4","alsT",1,0,1,0,5411,387,1,Inf,0.214820290122886,2.21879783025487,"Temperate",1,"UHGV","E","SporBacil_Lifestyle"
"5","amiC",6,0,6,0,5406,387,1,Inf,0.931748820863775,0.101987006675186,"Temperate",6,"UHGV","M","SporBacil_Lifestyle"
"6","amyA",5,0,5,0,5407,387,1,Inf,0.788257050392973,0.343261926050444,"Temperate",5,"UHGV","G","SporBacil_Lifestyle"
"7","apaH",6,1,6,1,262,232,0.128793342892119,5.31297709923664,3.83809523809524,1.94039051086184,"Temperate",7,"INPHARED","T","SporBacil_Lifestyle"
"8","apaH",13,0,13,0,5399,387,1,Inf,1.93767941476063,0.954329899445806,"Temperate",13,"UHGV","T","SporBacil_Lifestyle"
"9","appB",1,0,1,0,5411,387,1,Inf,0.214820290122886,2.21879783025487,"Temperate",1,"UHGV","S","SporBacil_Lifestyle"
"10","appF",1,1,1,1,5411,386,0.129028383942445,0.0713361670670856,0.071421971726878,3.80748822721278,"Lytic",2,"UHGV","R","SporBacil_Lifestyle"
"11","apr",1,2,1,2,267,231,0.59985724742899,0.432584269662921,0.519252336448598,0.945492292194479,"Lytic",3,"INPHARED","O","SporBacil_Lifestyle"
"12","apr",33,0,33,0,5379,387,0.167116252710256,Inf,4.82619202528116,2.270885318871,"Temperate",33,"UHGV","O","SporBacil_Lifestyle"
"13","aprE",0,11,0,11,268,222,0.000193473906690526,0,0.0360294712978706,4.79467870818867,"Lytic",11,"INPHARED","O","SporBacil_Lifestyle"
"14","aprE",1,0,1,0,5411,387,1,Inf,0.214820290122886,2.21879783025487,"Temperate",1,"UHGV","O","SporBacil_Lifestyle"
"15","asnO",1,0,1,0,5411,387,1,Inf,0.214820290122886,2.21879783025487,"Temperate",1,"UHGV","E","SporBacil_Lifestyle"
"16","bdbC",4,0,4,0,264,233,0.127164809382129,Inf,7.94517958412098,2.99007982903795,"Temperate",4,"INPHARED","O","SporBacil_Lifestyle"
"17","bldN",0,1,0,1,5412,386,0.0667356440765648,0,0.0238029253271747,5.39271730129776,"Lytic",1,"UHGV","Ph","SporBacil_Lifestyle"
"18","blyA",33,3,33,3,235,230,7.88363277609742e-07,10.7659574468085,9.3682135274492,3.22777395921672,"Temperate",36,"INPHARED","Ph","SporBacil_Lifestyle"
"19","blyA",404,12,404,12,5008,375,0.000686378007428703,2.52096645367412,2.42611161026255,1.27864592138525,"Temperate",416,"UHGV","Ph","SporBacil_Lifestyle"
"20","cas7",4,0,4,0,5408,387,1,Inf,0.644818341499492,0.633035313778898,"Temperate",4,"UHGV","V","SporBacil_Lifestyle"
"21","cas7",1,0,1,0,267,233,1,Inf,2.61869158878505,1.38884615914231,"Temperate",1,"INPHARED","V","SporBacil_Lifestyle"
"22","cca",8,0,8,0,5404,387,1,Inf,1.21889166435378,0.285569904263993,"Temperate",8,"UHGV","Ph","SporBacil_Lifestyle"
"23","cDA1",1,1,1,1,267,232,1,0.868913857677903,0.869158878504673,0.202308175293116,"Lytic",2,"INPHARED","S","SporBacil_Lifestyle"
"24","cDA1",12,0,12,0,5400,387,1,Inf,1.79381538746412,0.843031421307985,"Temperate",12,"UHGV","S","SporBacil_Lifestyle"
"25","citA",1,0,1,0,267,233,1,Inf,2.61869158878505,1.38884615914231,"Temperate",1,"INPHARED","T","SporBacil_Lifestyle"
"26","citA",7,0,7,0,5405,387,1,Inf,1.07529368236056,0.104730740019951,"Temperate",7,"UHGV","T","SporBacil_Lifestyle"
"27","clpC",5,1,5,1,5407,386,0.339386122277189,0.356944701313113,0.262074279550008,1.93195232300835,"Lytic",6,"UHGV","O","SporBacil_Lifestyle"
"28","clpP",0,3,0,3,5412,384,0.000295069539609089,0,0.0101484658528538,6.62259453859723,"Lytic",3,"UHGV","O","SporBacil_Lifestyle"
"29","comP",1,0,1,0,5411,387,1,Inf,0.214820290122886,2.21879783025487,"Temperate",1,"UHGV","T","SporBacil_Lifestyle"
"30","cotA",2,0,2,0,5410,387,1,Inf,0.35809999075871,1.48156561345976,"Temperate",2,"UHGV","0","SporBacil_Lifestyle"
"31","cotF",1,0,1,0,5411,387,1,Inf,0.214820290122886,2.21879783025487,"Temperate",1,"UHGV","M","SporBacil_Lifestyle"
"32","cotH",1,0,1,0,267,233,1,Inf,2.61869158878505,1.38884615914231,"Temperate",1,"INPHARED","M","SporBacil_Lifestyle"
"33","cotH",20,0,20,0,5392,387,0.640263713794211,Inf,2.94622160407974,1.55886594873187,"Temperate",20,"UHGV","M","SporBacil_Lifestyle"
"34","cotJB",4,0,4,0,5408,387,1,Inf,0.644818341499492,0.633035313778898,"Temperate",4,"UHGV","D","SporBacil_Lifestyle"
"35","cotJC",103,0,103,0,5309,387,0.00116929024457313,Inf,15.1073547415011,3.91717916535629,"Temperate",103,"UHGV","P","SporBacil_Lifestyle"
"36","cpdA",50,5,50,5,5362,382,0.413747688288063,0.712420738530399,0.654926891290528,0.610594225579759,"Lytic",55,"UHGV","T","SporBacil_Lifestyle"
"37","cpdA",1,0,1,0,267,233,1,Inf,2.61869158878505,1.38884615914231,"Temperate",1,"INPHARED","T","SporBacil_Lifestyle"
"38","cry6Ba",1,0,1,0,267,233,1,Inf,2.61869158878505,1.38884615914231,"Temperate",1,"INPHARED","0","SporBacil_Lifestyle"
"39","ctpA",1,0,1,0,5411,387,1,Inf,0.214820290122886,2.21879783025487,"Temperate",1,"UHGV","O","SporBacil_Lifestyle"
"40","cwlA",91,67,91,67,177,166,0.247394663247856,1.27380048908002,1.27154929577465,0.346587393912429,"Temperate",158,"INPHARED","Ph","SporBacil_Lifestyle"
"41","cwlA",102,0,102,0,5310,387,0.00187881280892594,Inf,14.9585726391112,3.90290061338027,"Temperate",102,"UHGV","Ph","SporBacil_Lifestyle"
"42","cwlC",207,30,207,30,5205,357,0.000723771722501362,0.473256484149856,0.467231222965621,1.09779140861347,"Lytic",237,"UHGV","Ph","SporBacil_Lifestyle"
"43","cwlC",23,24,23,24,245,209,0.541420679476109,0.817517006802721,0.818529448439253,0.288893773052912,"Lytic",47,"INPHARED","Ph","SporBacil_Lifestyle"
"44","cwlD",3,2,3,2,5409,385,0.0388157200046678,0.106766500277316,0.0997689250392827,3.32526565951125,"Lytic",5,"UHGV","Ph","SporBacil_Lifestyle"
"45","cwlD",0,2,0,2,268,231,0.215792415169661,0,0.17243947858473,2.53583798961254,"Lytic",2,"INPHARED","Ph","SporBacil_Lifestyle"
"46","cwlH",3,44,3,44,265,189,7.53366855139985e-13,0.0486277873070326,0.0561374552995197,4.15489252154186,"Lytic",47,"INPHARED","Ph","SporBacil_Lifestyle"
"47","cwlH",392,4,392,4,5020,383,3.0832818639487e-08,7.47689243027888,6.66262767099337,2.73609127343192,"Temperate",396,"UHGV","Ph","SporBacil_Lifestyle"
"48","cwlJ",125,41,125,41,5287,346,5.65446342009306e-14,0.199522990123035,0.198174826967444,2.33515437815361,"Lytic",166,"UHGV","S","SporBacil_Lifestyle"
"49","cwlJ",1,1,1,1,267,232,1,0.868913857677903,0.869158878504673,0.202308175293116,"Lytic",2,"INPHARED","S","SporBacil_Lifestyle"
