"","COG","Cat","gene_name","gene_desc"
"1","COG0686","E","ald","Alanine dehydrogenase (includes sporulation protein SpoVN)"
"2","COG0700","S","spmB","Spore maturation protein SpmB (function unknown)"
"3","COG0784","T","cheY","CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F"
"4","COG1300","D","spoIIM","Stage II sporulation protein SpoIIM, component of the engulfment complex"
"5","COG1633","P","yhjR","Rubrerythrin, includes spore coat protein YhjR"
"6","COG1774","T","yaaT","Cell fate regulator YaaT, PSP1 superfamily (controls sporulation, competence, biofilm development)"
"7","COG1861","M","spsF","Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family"
"8","COG1873","R","ylmC","Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain"
"9","COG1994","O","spoIVFB","Zn-dependent protease (includes sporulation protein SpoIVFB)"
"10","COG2132","DPM","sufI","Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA)"
"11","COG2340","DR","ykwD","Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain"
"12","COG2359","S","spoVS","Stage V sporulation protein SpoVS, predicted DNA-binding, AlbA superfamily"
"13","COG2385","M","spoIID","Peptidoglycan hydrolase (amidase) enhancer domain SpoIID"
"14","COG2715","R","spmA","Spore maturation protein SpmA (function unknown)"
"15","COG2718","R","yeaH","Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family"
"16","COG2719","D","spoVR","Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)"
"17","COG2755","DI","tesA","Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK"
"18","COG3314","DE","spoVV","Spore dipicolinate transporter SpoVV/YjiH/YlbJ, contains nucleoside recognition GATE domain"
"19","COG3546","P","cotJC","Mn-containing catalase (includes spore coat protein CotJC)"
"20","COG3621","R","pATA","Patatin-like phospholipase/acyl hydrolase, includes sporulation protein CotR"
"21","COG3679","T","ylbF","Cell fate regulator YlbF, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development)"
"22","COG3773","DM","cwlJ","Cell wall hydrolase CwlJ, involved in spore germination"
"23","COG3854","D","spoIIIAA","Stage III sporulation protein SpoIIIAA"
"24","COG3858","D","sleL","Spore cortex hydrolase SleL/YaaH, N-acetylglucosaminidase of GH18 family"
