"","COG","Cat","gene_name","gene_desc"
"25","COG3874","S","ytfJ","Uncharacterized spore protein YtfJ"
"26","COG3980","M","spsG","Spore coat polysaccharide biosynthesis protein SpsG, predicted glycosyltransferase"
"27","COG4326","D","spo0M","Stage 0 sporulation-control protein Spo0M"
"28","COG4550","T","ymcA","Cell fate regulator YmcA, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development)"
"29","COG4641","D","","Spore maturation protein CgeB"
"30","COG4846","CO","ccdC","Cytochrome c biogenesis protein CcdC"
"31","COG4862","KTN","mecA","Negative regulator MecA of genetic competence, sporulation and motility"
"32","COG5018","T","kapD","3'-5' exonuclease KapD, inhibitor of KinA-controlled sporulation"
"33","COG5337","M","cotH","Spore coat protein CotH"
"34","COG5401","D","gerM","Spore germination protein GerM"
"35","COG5577","M","cotF","Spore coat protein CotF"
"36","COG5801","DT","spo0A","Stage 0 sporulation initiation regulator Spo0A (response regulator, REC-HTH domains)"
"37","COG5802","DT","spo0B","Stage 0 sporulation initiation phosphotransferase Spo0B"
"38","COG5803","DT","spo0F","Stage 0 sporulation initiation response regulator Spo0F"
"39","COG5804","DT","spo0E","Stage 0 sporulation regulatory phosphatase Spo0E"
"40","COG5805","DT","kinA","Sporulation sensor histidine kinase A (Stage II sporulation protein SpoIIF/SpoIIJ)"
"41","COG5806","DT","kinB","Sporulation sensor histidine kinase B"
"42","COG5807","DT","kinC","Sporulation sensor histidine kinase C"
"43","COG5808","DT","kinD","Sporulation sensor histidine kinase D"
"44","COG5809","DT","kinE","Sporulation sensor histidine kinase E"
"45","COG5810","DT","kbaA","Sporulation protein KbaA, activator of histidine kinase KinB"
"46","COG5811","DK","sigE","Sporulation sigma factor SigE (mother cell-specific, SpoIIGB)"
"47","COG5812","DK","sigF","Sporulation sigma factor SigF (forespore-specific, SpoIIAC)"
"48","COG5813","DK","sigG","Sporulation sigma factor SigG (forespore-specific, SpoIIIG)"
"49","COG5814","DK","sigK","Sporulation sigma factor SigK (mother cell-specific, SpoIIIC/SpoIVCB)"
"50","COG5815","DT","spoIIAA","Stage II sporulation protein SpoIIAA (antagonist of anti-sigma F factor)"
"51","COG5816","D","spoIIB","Stage II sporulation protein SpoIIB (spatial and temporal regulation of the dissolution of septal peptidoglycan during engulfment)"
"52","COG5817","D","spoIIE","Stage II sporulation protein SpoIIE/SpoIIH (serine phosphatase - sigma-F activation)"
"53","COG5818","DKO","spoIIGA","Stage II sporulation protein SpoIIGA (protease, processing of pro-sigma-E to active sigma-E)"
"54","COG5819","D","spoIIP","Stage II sporulation protein SpoIIP, required for dissolution of the septal cell wall"
"55","COG5820","D","spoIIQ","Stage II sporulation protein SpoIIQ, required for engulfement"
"56","COG5821","D","spoIIQ2","Stage II sporulation protein SpoIIQ, clostridial version, metallopeptidase M23 family"
"57","COG5822","D","spoIIR","Stage II sporulation protein SpoIIR, required for processing of pro-sigma-E"
"58","COG5823","D","spoIIIAB","Stage III sporulation protein SpoIIIAB, component of the engulfment complex"
"59","COG5824","D","spoIIIAC","Stage III sporulation protein SpoIIIAC, component of the engulfment complex"
"60","COG5825","D","spoIIIAD","Stage III sporulation protein SpoIIIAD, component of the engulfment complex"
"61","COG5826","D","spoIIIAE","Stage III sporulation protein SpoIIIAE, component of the engulfment complex"
"62","COG5827","D","spoIIIAF","Stage III sporulation protein SpoIIIAF, component of the engulfment complex"
"63","COG5828","D","spoIIIAG","Stage III sporulation protein SpoIIIAG, component of the engulfment complex"
"64","COG5829","D","spoIIIAH","Stage III sporulation protein SpoIIIAH, component of the engulfment complex"
"65","COG5830","DK","spoIIID","Stage III sporulation protein SpoIIID, transcriptional regulator of sigma-E- and sigma-K-dependent genes"
"66","COG5831","D","spoIVA","Stage IV sporulation protein SpoIVA, required for spore cortex formation and coat assembly"
"67","COG5832","DO","spoIVB","Stage IV sporulation protein SpoIVB, serine protease, degrades SpoIIQ, SpoIVFA"
"68","COG5833","D","spoIVFA","Stage IV sporulation protein SpoIVFA, regulates SpoIVFB"
"69","COG5834","DE","spoVAA","Stage V sporulation protein SpoVAA, subunit of dipicolinate uptake complex"
"70","COG5835","DE","spoVAB","Stage V sporulation protein SpoVAB, subunit of dipicolinate uptake complex"
"71","COG5836","DE","spoVAC","Stage V sporulation protein SpoVAC, subunit of dipicolinate uptake complex"
"72","COG5837","DE","spoVAD","Stage V sporulation protein SpoVAD, subunit of dipicolinate uptake complex"
"73","COG5838","D","spoVAEA","Stage V sporulation protein SpoVAEA, mutants lead to the production of immature spores"
"74","COG5839","DE","spoVAEB","Stage V sporulation protein SpoVAEB, subunit of dipicolinate uptake complex"
"75","COG5840","DE","spoVAF","Stage V sporulation protein SpoVAF, subunit of dipicolinate uptake complex, GerA superfamily"
"76","COG5841","D","spoVB","Stage V sporulation protein SpoVB/SpoIIIF, required for spore cortex synthesis"
"77","COG5842","DE","dpaA","Dipicolinate synthase subunit A (sporulation protein SpoVFA)"
"78","COG5843","DE","dpaB","Dipicolinate synthase subunit B (sporulation protein SpoVFB)"
"79","COG5844","D","spoVM","Stage V sporulation protein SpoVM, required for spore cortex and coat synthesis"
"80","COG5845","DK","spoVT","Stage V sporulation protein SpoVT, regulator of stationary/sporulation gene expression"
"81","COG5846","D","spoVID","Stage VI sporulation protein SpoVID (LysM domain), required for assembly of the spore coat"
"82","COG5847","D","spoVIF","Stage VI sporulation protein SpoVIF, required for heat resistance"
"83","COG5848","DT","bofA","SigmaK-processing regulatory protein BofA (Bypass-of-forespore protein A)"
"84","COG5849","DT","bofC","SigmaK checkpoint regulator BofC  (Bypass-of-forespore protein C)"
"85","COG5850","DK","rsfA","Prespore-specific transcriptional regulator RsfA"
"86","COG5851","DL","sda","Stage 0 sporulation inhibitor Sda, checkpoint for initiation of sporulation and replication"
"87","COG5852","D","sspA/SspB/SspC/SspD","Small acid-soluble spore protein SspA/SspB/SspC/SspD (alpha/beta-type)"
"88","COG5853","D","sspE","Small acid-soluble spore protein SspE (gamma-type)"
"89","COG5854","D","sspF","Small acid-soluble spore protein SspF (alpha/beta-type)"
"90","COG5855","D","sspH","Small acid-soluble spore protein SspH/YfjU"
"91","COG5856","D","sspI","Small acid-soluble spore protein SspI"
"92","COG5857","D","sspK","Small acid-soluble spore protein SspK"
"93","COG5858","D","sspL","Small acid-soluble spore protein SspL"
"94","COG5859","D","sspN","Small acid-soluble spore protein SspN"
"95","COG5860","D","sspO","Small acid-soluble spore protein SspO/CotK"
"96","COG5861","D","sspP","Small acid-soluble spore protein SspP/CotL"
"97","COG5862","D","csgA","Small acid-soluble spore protein CsgA"
"98","COG5863","D","tlp","Small acid-soluble spore protein Tlp (thioredoxin-like protein)"
"99","COG5864","D","sASP","Small acid-soluble spore protein SAS2, clostridial type"
"100","COG5865","DK","csfB","Forespore-specific anti-sigma-G factor CsfB/Gin"
"101","COG5866","DO","yabG","Sporulation-specific protease YabG"
"102","COG5868","D","yabP","Sporulation protein YabP"
"103","COG5869","D","yabQ","Spore cortex formation membrane protein YabQ"
"104","COG5870","DK","ybaK","Uncharacterized sporulation protein YbaK, contains DUF2521 domain (not related to E. coli deacylase YbaK, COG2606)"
"105","COG5871","D","yqfC","Spore cortex protein YqfC, YabP family"
"106","COG5872","D","yqfD","Stage IV sporulation protein YqfD"
"107","COG5873","D","yqzE","Uncharacterized sporulation protein YqzE"
"108","COG5874","D","ytxC","Uncharacterized sporulation protein YtxC"
"109","COG5876","S","","Uncharacterized sporulation protein YozQ"
"110","COG5878","D","yyaC","Uncharacterized sporulation protein YyaC,contains DUF1256 domain"
"111","COG5879","D","cotD","Spore coat protein CotD"
"112","COG5880","D","cotE","Spore coat protein CotE"
"113","COG5881","D","cotI","Spore coat protein CotI/CotS, protein kinase superfamily"
"114","COG5882","D","cotJA","Spore coat protein CotJA, required for the assembly of CotJC"
"115","COG5883","D","cotJB","Spore coat protein CotJB"
"116","COG5884","D","cotN","Spore coat protein CotN/TasA"
"117","COG5885","D","cotO","Spore coat protein CotO/YjbX"
"118","COG5886","D","cotV","Spore coat protein CotV/CotX (outer spore coat)"
"119","COG5887","D","cotW","Spore coat protein CotW (outer spore coat)"
"120","COG5888","D","cotY","Spore coat protein CotY/CotZ (outer spore coat)"
"121","COG5889","D","gerQ","Spore coat protein GerQ/YwdL (inner spore coat)"
"122","COG5890","D","yhbB","Uncharacterized sporulation proteins YjcM and YhbB, contain C-terminal amidase domain"
"123","COG5891","D","yheC","Spore coat protein YheC/YheD, ATP-grasp superfamily"
"124","COG5892","D","ylbD","Spore coat protein YlbD, FlgN family"
"125","COG5894","D","yppG","Spore coat protein YppG"
"126","COG5895","D","ypzA","Uncharacterized sporulation protein YpzA, contains DUF2564 domain"
"127","COG5896","D","yraG","Spore coat protein YraE/YraG"
"128","COG5897","D","ysxE","Spore coat protein YsxE, aminoglycoside phosphotransferase family"
"129","COG5898","D","yuzC","Spore coat protein YuzC (inner spore coat)"
"130","COG5899","D","ywqH","Spore coat protein YwqH"
"131","COG5900","D","yybI","Spore coat protein YybI (inner spore coat)"
"132","COG5901","D","gerAA","Spore germination receptor GerABC, GerA subunit (L-alanine receptor)"
"133","COG5902","D","gerAB","Spore germination receptor GerABC, GerB subunit (amino acid transporter)"
"134","COG5903","D","gerAC","Spore germination receptor GerABC, GerC subunit"
"135","COG5904","D","gerD","Spore germination receptor GerD"
"136","COG5905","DK","gerE","Spore transcriptional regulator GerE (stand-alone HTH domain)"
"137","COG5906","D","gerPA","Spore germination protein GerPA/GerPF (inner spore coat)"
"138","COG5907","D","gerPB","Spore germination protein GerPB, DUF2539 family (inner spore coat)"
"139","COG5908","D","gerPC","Spore germination protein GerPC (inner spore coat)"
"140","COG5909","D","gerPD","Spore germination protein GerPD (inner spore coat)"
"141","COG5910","D","gerPE","Spore germination protein GerPE (inner spore coat)"
"142","COG5911","D","gpr","Spore germination protease Gpr"
"143","COG5912","D","coxA","Spore cortex protein CoxA (YrbB), YhcN/YlaJ family"
"144","COG5914","D","ypeB","Spore germination protein YpeB, HAD superfamily, activates cortex-lytic enzyme SleB"
"145","COG5916","D","yfkD","Uncharacterized sporulation protein YfkD"
"146","COG5917","D","yjbA","Uncharacterized sporulation protein YjbA, contains UPF0736/DUF3603 domain"
"147","COG5918","D","ymfJ","Uncharacterized sporulation protein YmfJ, contains DUF3243 domain"
"148","COG5919","D","yodI","Uncharacterized sporulation protein YodI"
"149","COG5920","D","yqfT","Uncharacterized sporulation protein YqfT, contains DUF2624 domain"
"150","COG5921","D","yqfX","Uncharacterized sporulation protein YqfX, contains DUF308 domain"
"151","COG5922","D","yqhG","Uncharacterized sporulation protein YqhG"
"152","COG5923","D","yrzE","Uncharacterized sporulation membrane protein YrzE, contains DUF3792 domain"
"153","COG5924","D","ytfI","Uncharacterized sporulation protein YtfI, contains DUF2953 domain"
"154","COG5925","D","ytrH","Uncharacterized sporulation membrane protein YtrH/SpoVIGA"
"155","COG5926","D","ytrI","Uncharacterized sporulation protein YtrI"
"156","COG5928",NA,NA,NA
"910","COG2002","KV","abrB","Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module"
"1010","COG0511","I","accB","Biotin carboxyl carrier protein"
"1110","COG0439","I","accC","Biotin carboxylase"
"1210","COG1309","K","acrR","DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA"
"1310","COG4147","C","actP","Na+(or H+)/acetate symporter ActP"
"1410","COG0123","Q","acuC","Acetoin utilization deacetylase AcuC or a related deacetylase"
"1510","COG2055","C","allD","Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family"
"1610","COG0787","M","alr","Alanine racemase"
"1710","COG1115","E","alsT","Na+/alanine symporter"
"1810","COG0860","M","amiC","N-acetylmuramoyl-L-alanine amidase"
"1910","COG1680","V","ampC","CubicO group peptidase, beta-lactamase class C family"
"2010","COG0366","G","amyA","Glycosidase/amylase (phosphorylase)"
"2110","COG1113","E","ansP","L-asparagine transporter or related permease"
"2210","COG0639","T","apaH","Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family"
"2310","COG1294","C","appB","Cytochrome bd-type quinol oxidase, subunit 2"
"2410","COG1271","C","appC","Cytochrome bd-type quinol oxidase, subunit 1"
"2510","COG4608","E","appF","ABC-type oligopeptide transport system, ATPase component"
"2610","COG1404","O","aprE","Serine protease, subtilisin family"
"2710","COG2814","G","araJ","Predicted arabinose efflux permease AraJ, MFS family"
"2810","COG0624","E","argE","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase"
"2910","COG1055","P","arsB","Na+/H+ antiporter NhaD or related arsenite permease"
"3010","COG0136","E","asd","Aspartate-semialdehyde dehydrogenase"
"319","COG0367","E","asnB","Asparagine synthetase B (glutamine-hydrolyzing)"
"321","COG2057","I","atoA","Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit"
"331","COG2204","T","atoC","DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
"341","COG1788","I","atoD","Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit"
"351","COG1182","C","azoR","FMN-dependent NADH-azoreductase"
"361","COG1215","N","bcsA","Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase"
"371","COG3424","Q","bH0617","Predicted naringenin-chalcone synthase"
"381","COG0161","H","bioA","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase"
"391","COG1960","I","caiA","Acyl-CoA dehydrogenase related to the alkylation response protein AidB"
"401","COG1024","I","caiD","Enoyl-CoA hydratase/carnithine racemase"
"411","COG1857","V","cas7","CRISPR-Cas system type I effector complex subunit Cas7,  RAMP superfamily"
"421","COG0517","T","cBS","CBS domain"
"431","COG0785","CO","ccdA","Cytochrome c biogenesis protein CcdA"
"441","COG1131","V","ccmA","ABC-type multidrug transport system, ATPase component"
"451","COG0726","GM","cDA1","Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family"
"461","COG1793","L","cDC9","ATP-dependent DNA ligase"
"471","COG1455","G","celB","Phosphotransferase system cellobiose-specific component IIC"
"481","COG1486","G","celF","Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase"
"491","COG0387","P","chaA","Cation (Ca2+/Na+/K+)/H+ antiporter ChaA"
"501","COG2059","P","chrA","Chromate transport protein ChrA"
"511","COG3290","T","citA","Sensor histidine kinase DipB regulating citrate/malate metabolism"
"521","COG2197","TK","citB","DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains"
"531","COG2851","C","citM","Mg2+/citrate symporter"
"541","COG0542","O","clpA","ATP-dependent Clp protease, ATP-binding subunit ClpA"
"551","COG0740","O","clpP","ATP-dependent protease ClpP, protease subunit"
"561","COG1502","I","cls","Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase"
"571","COG0452","H","coaBC","Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC"
"581","COG1457","F","codB","Purine-cytosine permease or related protein"
"591","COG4465","K","codY","GTP-sensing pleiotropic transcriptional regulator CodY"
"601","COG0561","HR","cof","Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases"
"611","COG1809","H","comA","Phosphosulfolactate synthase, CoM biosynthesis protein A"
"621","COG2045","H","comB","Phosphosulfolactate phosphohydrolase or related enzyme"
"631","COG4585","T","comP","Signal transduction histidine kinase ComP"
"641","COG1409","T","cpdA","3',5'-cyclic AMP phosphodiesterase CpdA"
"651","COG0699","L","crfC","Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)"
"661","COG1612","H","ctaA","Heme A synthase"
"671","COG0793","O","ctpA","C-terminal processing protease CtpA/Prc, contains a PDZ domain"
"681","COG5632","M","cwlA","N-acetylmuramoyl-L-alanine amidase CwlA"
"691","COG2124","QV","cypX","Cytochrome P450"
"701","COG0529","P","cysC","Adenylylsulfate kinase or related kinase"
"711","COG0175","EH","cysD","3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme"
"721","COG0369","FP","cysJ","Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases"
"731","COG1686","M","dacC","D-alanyl-D-alanine carboxypeptidase"
"741","COG0665","E","dadA","Glycine/D-amino acid oxidase (deaminating)"
"751","COG0329","EM","dapA","4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase"
"761","COG3069","C","dcuC","C4-dicarboxylate transporter DcuC"
"771","COG0265","O","degQ","Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain"
"781","COG0818","I","dgkA","Diacylglycerol kinase"
"791","COG2404","JT","dhhP","Oligoribonuclease NrnA/c-di-AMP phosphodiesterase DhhP, DHH superfamily"
"801","COG1624","T","disA","c-di-AMP synthetase, contains DisA_N domain"
"811","COG1623","T","disA","c-di-AMP synthetase DisA, contains DisA_N, linker and DNA-binding domains"
"821","COG3599","D","divIVA","Cell division septum initiation protein DivIVA, interacts with FtsZ and MinD"
"831","COG1734","K","dksA","RNA polymerase-binding transcription factor DksA"
"841","COG2362","E","dppA","D-aminopeptidase"
"851","COG0601","EP","dppB","ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
"861","COG1173","EP","dppC","ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
"871","COG0444","EP","dppD","ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"
"881","COG1495","O","dsbB","Disulfide bond formation protein DsbB"
"891","COG1651","O","dsbG","Protein thiol-disulfide isomerase DsbC"
"901","COG4473","U","ecsB","Predicted ABC-type exoprotein transport system, permease component"
"911","COG0148","G","eno","Enolase"
"921","COG1020","Q","entF","EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase"
"931","COG1509","E","epmB","L-lysine 2,3-aminomutase (EF-P beta-lysylation pathway)"
"941","COG1376","M","erfK","Lipoprotein-anchoring transpeptidase ErfK/SrfK"
"951","COG1562","I","eRG9","Phytoene/squalene synthetase"
"961","COG1028","I","fabG","NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family"
"971","COG0332","I","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III"
"981","COG1250","I","fadB","3-hydroxyacyl-CoA dehydrogenase"
"991","COG0191","G","fba","Fructose/tagatose bisphosphate aldolase"
"1001","COG1191","K","fliA","DNA-directed RNA polymerase specialized sigma subunit"
"1011","COG0849","D","ftsA","Cell division ATPase FtsA"
"1021","COG2919","D","ftsB","Cell division protein FtsB"
"1031","COG2884","D","ftsE","Cell division ATPase FtsE"
"1041","COG0768","DM","ftsI","Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)"
"1051","COG1674","D","ftsK","DNA segregation ATPase FtsK/SpoIIIE or related protein"
"1061","COG1589","D","ftsQ","Cell division septal protein FtsQ"
"1071","COG0772","D","ftsW","Peptodoglycan polymerase FtsW/RodA/SpoVE"
"1081","COG2177","D","ftsX","Cell division protein FtsX"
"1091","COG0552","U","ftsY","Signal recognition particle GTPase FtsY"
"1101","COG1210","M","galU","UTP-glucose-1-phosphate uridylyltransferase"
"1111","COG1208","JM","gCD1","NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s"
"1121","COG3887","T","gdpP","Cyclic di-AMP phosphodiesterase GdpP, contains GGDEF-like and DHH domains"
"1131","COG0277","C","glcD","FAD/FMN-containing lactate dehydrogenase/glycolate oxidase"
"1141","COG4975","G","glcU","Glucose uptake protein GlcU"
"1151","COG0297","G","glgA","Glycogen synthase"
"1161","COG0296","G","glgB","1,4-alpha-glucan branching enzyme"
"1171","COG0448","G","glgC","Glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase)"
"1181","COG0058","G","glgP","Glucan phosphorylase"
"1191","COG1126","E","glnQ","ABC-type polar amino acid transport system, ATPase component"
"1201","COG0346","Q","gloA","Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family"
"1211","COG0491","R","gloB","Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II"
"1221","COG0705","O","glpG","Membrane-associated serine protease, rhomboid family"
"1231","COG2066","E","glsA","Glutaminase"
"1241","COG0372","C","gltA","Citrate synthase"
"1251","COG2610","G","gntT","H+/gluconate symporter GntT or related permease, GntP/DsdX family"
"1261","COG0696","G","gpmI","Phosphoglycerate mutase (BPG-independent), AlkP superfamily"
"1271","COG3208","Q","grsT","Surfactin synthase thioesterase subunit"
"1281","COG3206","M","gumC","Exopolysaccharide export protein/domain GumC/Wzc1"
"1291","COG4980","R","gvpP","Gas vesicle protein YhaH"
"1301","COG2959","R","hemX","Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)"
"1311","COG0553","KL","hepA","Superfamily II DNA or RNA helicase, SNF2 family"
"1321","COG1396","K","hipB","Transcriptional regulator, contains XRE-family HTH domain"
"1331","COG0834","ET","hisJ","ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
"1341","COG0765","E","hisM","ABC-type amino acid transport system, permease component"
"1351","COG0470","L","holB","DNA polymerase III, delta prime subunit"
"1361","COG0501","O","htpX","Zn-dependent protease with chaperone function"
"1371","COG0680","C","hyaD","Ni,Fe-hydrogenase maturation factor"
"1381","COG0071","O","ibpA","Small heat shock protein IbpA, HSP20 family"
"1391","COG1414","K","iclR","DNA-binding transcriptional regulator, IclR family"
"1401","COG0142","H","ispA","Geranylgeranyl pyrophosphate synthase"
"1411","COG0821","I","ispG","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE"
"1421","COG1847","R","jag","Predicted RNA-binding protein Jag (SpoIIIJ-associated), conains KH and R3H domains"
"1431","COG0753","P","katE","Catalase"
"1441","COG1226","P","kch","Voltage-gated potassium channel Kch"
"1451","COG2205","T","kdpD","K+-sensing histidine kinase KdpD"
"1461","COG0475","P","kefB","Kef-type K+ transport system, membrane component KefB"
"1471","COG1052","CHR","ldhA","Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase"
"1481","COG0119","E","leuA","Isopropylmalate/homocitrate/citramalate synthases"
"1491","COG0682","M","lgt","Prolipoprotein diacylglyceryltransferase"
"1501","COG3285","L","ligD","Eukaryotic-type DNA primase"
"1511","COG2834","M","lolA","Outer membrane lipoprotein-sorting protein"
"1521","COG1067","O","lonB","Predicted ATP-dependent protease"
"1531","COG1522","K","lrp","DNA-binding transcriptional regulator, Lrp family"
"1541","COG0019","E","lysA","Diaminopimelate decarboxylase"
"1551","COG1388","M","lysM","LysM repeat"
"1561","COG0583","K","lysR","DNA-binding transcriptional regulator, LysR family"
"157","COG0189","EHJQ","lysX","Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily"
"158","COG0662","G","manC","Mannose-6-phosphate isomerase, cupin superfamily"
"159","COG1846","K","marR","DNA-binding transcriptional regulator, MarR family"
"160","COG3880","O","mcsA","Protein-arginine kinase activator protein McsA"
"161","COG3869","O","mcsB","Protein-arginine kinase McsB"
"162","COG0318","I","menE/FadK","O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)"
"163","COG0596","HR","menH","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold"
"164","COG2046","P","mET3","ATP sulfurylase (sulfate adenylyltransferase)"
"165","COG0527","E","metL1","Aspartate kinase"
"166","COG0474","P","mgtA","Magnesium-transporting ATPase (P-type)"
"167","COG4799","I","mmdA","Acetyl-CoA carboxylase, carboxyltransferase component"
"168","COG2111","P","mnhB","Multisubunit Na+/H+ antiporter, MnhB subunit"
"169","COG1971","P","mntP","Putative Mn2+ efflux pump MntP"
"170","COG0744","M","mrcB","Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase"
"171","COG1077","DZ","mreB","Cell shape-determining ATPase MreB, actin-like superfamily"
"172","COG0668","M","mscS","Small-conductance mechanosensitive channel"
"173","COG0246","G","mtlD","Mannitol-1-phosphate/altronate dehydrogenases"
"174","COG0812","M","murB","UDP-N-acetylenolpyruvoylglucosamine reductase"
"175","COG0707","M","murG","UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase"
"176","COG0494","V","mutT","8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family"
"177","COG0673","R","mviM","Predicted dehydrogenase"
"178","COG0171","H","nadE","NH3-dependent NAD+ synthetase"
"179","COG1252","C","ndh","NADH dehydrogenase, FAD-containing subunit"
"180","COG1515","L","nfi","Deoxyinosine 3'-endonuclease (endonuclease V)"
"181","COG0739","M","nlpD","Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain"
"182","COG3852","T","ntrB","Signal transduction histidine kinase NtrB, nitrogen specific"
"183","COG1009","C","nuoL","Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit"
"184","COG0536","DL","obg","GTPase involved in cell partioning and DNA repair"
"185","COG0745","TK","ompR","DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"
"186","COG2194","M","opgE","Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily"
"187","COG4166","E","oppA","ABC-type oligopeptide transport system, periplasmic component"
