"","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","gtdb_f","f_spor","total","host.genome.length","host.gene.count","host.GC"
"1","Bacteria","Bacillota","Bacilli","Alicyclobacillales","Alicyclobacillaceae","TRUE",11,3180076.36363636,3194.72727272727,58.8636363636364
"2","Bacteria","Bacillota","Bacilli","Aneurinibacillales","Aneurinibacillaceae","TRUE",4,4718523.25,4923.5,45
"3","Bacteria","Bacillota","Bacilli","Bacillales","Alkalibacillaceae","TRUE",19,3019763.94736842,3174.78947368421,38.1052631578947
"4","Bacteria","Bacillota","Bacilli","Bacillales","Amphibacillaceae","TRUE",82,4002700.73170732,3971.79268292683,38.6890243902439
"5","Bacteria","Bacillota","Bacilli","Bacillales","Anoxybacillaceae","TRUE",18,3162375.38888889,3323.61111111111,45.75
"6","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","TRUE",120,4492294.01666667,4518.15,38.65
"7","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae_B","TRUE",4,4582732.5,4515.5,41.375
"8","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae_G","TRUE",8,4343787.75,4382.625,37.75
"9","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae_H","TRUE",6,4657043.16666667,4785.83333333333,37.6666666666667
"10","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae_I","TRUE",4,4583504.75,4659.75,38.5
"11","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae_L","TRUE",4,4745360.75,4671.75,36.75
"12","Bacteria","Bacillota","Bacilli","Bacillales","Caldibacillaceae","TRUE",6,3208490.5,3109.5,39
"13","Bacteria","Bacillota","Bacilli","Bacillales","DSM-1321","TRUE",15,4880312.86666667,4787.2,39.4
"14","Bacteria","Bacillota","Bacilli","Bacillales","DSM-18226","TRUE",49,4946909.85714286,4928.57142857143,39.469387755102
"15","Bacteria","Bacillota","Bacilli","Bacillales","DSM-25281","TRUE",2,4175452,4242.5,42.25
"16","Bacteria","Bacillota","Bacilli","Bacillales","Domibacillaceae","TRUE",9,3825711.77777778,3925.77777777778,42.9444444444444
"17","Bacteria","Bacillota","Bacilli","Bacillales","Halobacillaceae","TRUE",5,3853845.4,3902.8,44.1
"18","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","TRUE",12,3910462.08333333,3928.58333333333,37.875
"19","Bacteria","Bacillota","Bacilli","Bacillales_C","Bacillaceae_J","TRUE",2,3542332,3427,36
"20","Bacteria","Bacillota","Bacilli","Bacillales_E","Massilibacteriaceae","TRUE",1,2849407,2917,35.5
"21","Bacteria","Bacillota","Bacilli","Bacillales_E","SA5d-4","TRUE",1,3028380,3222,35
"22","Bacteria","Bacillota","Bacilli","Bacillales_G","Fictibacillaceae","TRUE",17,4235885.70588235,4374.52941176471,41.7352941176471
"23","Bacteria","Bacillota","Bacilli","Bacillales_H","Anaerobacillaceae","TRUE",2,5068115,5161.5,36.5
"24","Bacteria","Bacillota","Bacilli","Bacillales_H","Bacillaceae_D","TRUE",23,4396304.08695652,4473.08695652174,40.1304347826087
"25","Bacteria","Bacillota","Bacilli","Bacillales_H","Bacillaceae_F","TRUE",4,4991985,4980.75,37.125
"26","Bacteria","Bacillota","Bacilli","Bacillales_H","Marinococcaceae","TRUE",15,3759616.06666667,3825,44.1333333333333
"27","Bacteria","Bacillota","Bacilli","Bacillales_H","Salisediminibacteriaceae","TRUE",17,4331173.58823529,4191.05882352941,41.8823529411765
"28","Bacteria","Bacillota","Bacilli","Bacillales_K","Sporolactobacillaceae","TRUE",2,3057996.5,3031,46.75
"29","Bacteria","Bacillota","Bacilli","Brevibacillales","Brevibacillaceae","TRUE",3,5932414,5591.33333333333,45
"30","Bacteria","Bacillota","Bacilli","Caldalkalibacillales","Caldalkalibacillaceae","TRUE",2,3823009.5,3772.5,44.75
"31","Bacteria","Bacillota","Bacilli","DSM-28697","DSM-28697","TRUE",1,4382167,4208,44.5
"32","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","TRUE",22,2618294.72727273,2587.90909090909,40.4318181818182
"33","Bacteria","Bacillota","Bacilli","Kyrpidiales","Kyrpidiaceae","TRUE",2,3368470.5,3316,58.75
"34","Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","FALSE",16,2144725,2042.0625,39.34375
"35","Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","FALSE",17,2257417.41176471,2178.23529411765,37.9705882352941
"36","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","FALSE",19,3031129.89473684,2910.84210526316,38
"37","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","FALSE",234,2292449.46153846,2232.95726495727,42.0726495726496
"38","Bacteria","Bacillota","Bacilli","Lactobacillales","Listeriaceae","FALSE",2,2903366.5,2901,37.25
"39","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","FALSE",98,2100121.15306122,2073.75510204082,39.8928571428571
"40","Bacteria","Bacillota","Bacilli","Lactobacillales","Vagococcaceae","FALSE",11,2333019.18181818,2289.72727272727,34.8181818181818
"41","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","TRUE",214,6562671.6682243,5962.18224299065,49.6004672897196
"42","Bacteria","Bacillota","Bacilli","Staphylococcales","Gemellaceae","FALSE",3,1830670.66666667,1696,30.5
"43","Bacteria","Bacillota","Bacilli","Staphylococcales","Salinicoccaceae","FALSE",8,2280315.875,2387.5,41.6875
"44","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","FALSE",38,2571908.73684211,2518.47368421053,34.4473684210526
"45","Bacteria","Bacillota","Bacilli","Thermicanales","Thermicanaceae","TRUE",1,3657623,3611,48
"46","Bacteria","Bacillota","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","TRUE",1,4185101,4321,38.5
"47","Bacteria","Bacillota","Clostridia","Acetivibrionales","Acetivibrionaceae","TRUE",5,4509419.8,3927.8,36.6
"48","Bacteria","Bacillota","Clostridia","Caldicoprobacterales","Caldicoprobacteraceae","TRUE",3,2504230.66666667,2417.33333333333,44.5
"49","Bacteria","Bacillota","Clostridia","Christensenellales","Christensenellaceae","FALSE",1,2203091,2130,53.5
"50","Bacteria","Bacillota","Clostridia","Clostridiales","Caloramatoraceae","TRUE",5,2424164.2,2495.8,31.9
"51","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","TRUE",101,3940287.46534653,3739.08910891089,31.8960396039604
"52","Bacteria","Bacillota","Clostridia","DSM-8532","DSM-8532","TRUE",2,2932432.5,2663,46.5
"53","Bacteria","Bacillota","Clostridia","Eubacteriales","Alkalibacteraceae","FALSE",3,2649089.66666667,2567,38
"54","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","FALSE",12,3231789.75,3004.08333333333,41.75
"55","Bacteria","Bacillota","Clostridia","Eubacteriales","Garciellaceae","FALSE",1,2163332,2224,30.5
"56","Bacteria","Bacillota","Clostridia","Lachnospirales","Cellulosilyticaceae","TRUE",3,4388342.66666667,4152.33333333333,34.6666666666667
"57","Bacteria","Bacillota","Clostridia","Lachnospirales","Defluviitaleaceae","TRUE",1,3014560,2894,36
"58","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","TRUE",123,3958122.60162602,3712.52032520325,44.1016260162602
"59","Bacteria","Bacillota","Clostridia","Lachnospirales","Vallitaleaceae","TRUE",2,3249461,3073,47.25
"60","Bacteria","Bacillota","Clostridia","Monoglobales","Monoglobaceae","FALSE",2,2884009.5,2456,40.5
"61","Bacteria","Bacillota","Clostridia","Oscillospirales","Acutalibacteraceae","FALSE",13,2987129.30769231,2939.30769230769,49.6923076923077
"62","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae","TRUE",6,2968297.33333333,3049.33333333333,55.25
"63","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","FALSE",12,3442044.83333333,3296.25,59.0833333333333
"64","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","TRUE",29,3205475.31034483,3095.06896551724,51.6896551724138
"65","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Acidaminobacteraceae","TRUE",3,3411335.33333333,3140,36
