"","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","gtdb_f","f_spor","total","host.genome.length","host.gene.count","host.GC"
"66","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","TRUE",6,2932698.16666667,2792.33333333333,40.5833333333333
"67","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Caminicellaceae","TRUE",3,4114006.66666667,3953.33333333333,30
"68","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Filifactoraceae","TRUE",6,2565947.66666667,2455.16666666667,33.75
"69","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Natronincolaceae","TRUE",4,3948768.25,3907,34.5
"70","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","TRUE",19,3484176.78947368,3426.94736842105,29.8684210526316
"71","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Thermotaleaceae","TRUE",6,3630316,3557.33333333333,34.4166666666667
"72","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Tindalliaceae","TRUE",1,3083807,2837,39.5
"73","Bacteria","Bacillota","Clostridia","Tissierellales","Caldisalinibacteraceae","TRUE",1,2788198,2802,30
"74","Bacteria","Bacillota","Clostridia","Tissierellales","Clostridiisalibacteraceae","TRUE",1,3250627,3214,31.5
"75","Bacteria","Bacillota","Clostridia","Tissierellales","Gottschalkiaceae","TRUE",2,2870403.5,2955,36.25
"76","Bacteria","Bacillota","Clostridia","Tissierellales","Peptoniphilaceae","FALSE",23,1965789.2173913,1904.60869565217,32.304347826087
"77","Bacteria","Bacillota","Clostridia","Tissierellales","SIT17","TRUE",1,2892849,2921,29
"78","Bacteria","Bacillota","Clostridia","Tissierellales","Sporanaerobacteraceae","TRUE",1,2912784,2925,31
"79","Bacteria","Bacillota","Clostridia","Tissierellales","Tepidimicrobiaceae","TRUE",2,2655257.5,2693.5,31.5
"80","Bacteria","Bacillota","Clostridia","Tissierellales","Tissierellaceae","TRUE",3,3011523.66666667,3029.66666666667,32
"81","Bacteria","Bacillota","Clostridia","UBA1381","UBA1381","TRUE",1,3087174,2812,38
"82","Bacteria","Bacillota","Clostridia","UMGS1810","UMGS1810","FALSE",1,2635915,2477,43
"83","Bacteria","Bacillota","DSM-12270","Thermacetogeniales","Thermacetogeniaceae","TRUE",1,2939057,2926,54
"84","Bacteria","Bacillota","DSM-16504","Desulfitibacterales","Desulfitibacteraceae","TRUE",1,4361351,4290,39
"85","Bacteria","Bacillota","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","TRUE",7,4727875,4544.85714285714,42.7142857142857
"86","Bacteria","Bacillota","Desulfitobacteriia","Heliobacteriales","Heliobacteriaceae","TRUE",7,3569833.57142857,3451.42857142857,51.5
"87","Bacteria","Bacillota","Desulfotomaculia","Desulfotomaculales","Ammonificaceae","TRUE",2,2144787.5,2265,59.5
"88","Bacteria","Bacillota","Desulfotomaculia","Desulfotomaculales","Desulfofarciminaceae","TRUE",1,2981061,3127,40.5
"89","Bacteria","Bacillota","Desulfotomaculia","Desulfotomaculales","Desulfovirgulaceae","TRUE",2,3149924.5,3229,55
"90","Bacteria","Bacillota","Desulfotomaculia","Desulfotomaculales","Pelotomaculaceae","TRUE",4,3938176.5,3884.5,48
"91","Bacteria","Bacillota","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","TRUE",1,3116746,3217,48.5
"92","Bacteria","Bacillota","Halanaerobiia","Halanaerobiales","Halanaerobiaceae","FALSE",1,2309262,2185,30.5
"93","Bacteria","Bacillota","Halanaerobiia","Halobacteroidales","Acetohalobiaceae","FALSE",1,2469596,2438,36.5
"94","Bacteria","Bacillota","Moorellia","Moorellales","Moorellaceae","TRUE",1,3334124,3422,49.5
"95","Bacteria","Bacillota","Natranaerobiia","Natranaerobiales","Natranaerobiaceae","FALSE",2,2912391.5,2907.5,34.75
"96","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","FALSE",1,2329769,2192,56
"97","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Succinispiraceae","FALSE",1,2085243,1988,36
"98","Bacteria","Bacillota","Negativicutes","Anaeromusales","Anaeromusaceae","FALSE",1,3475815,3396,49
"99","Bacteria","Bacillota","Negativicutes","Propionisporales","Propionisporaceae","TRUE",2,4293312,4102,48
"100","Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","FALSE",21,2612353.9047619,2514.14285714286,49.6190476190476
"101","Bacteria","Bacillota","Negativicutes","Sporomusales","Sporomusaceae","TRUE",1,4144804,4243,46
"102","Bacteria","Bacillota","Negativicutes","Veillonellales","Dialisteraceae","FALSE",1,1895960,1807,45.5
"103","Bacteria","Bacillota","Negativicutes","Veillonellales","Megasphaeraceae","FALSE",5,2408964.6,2295.6,52.2
"104","Bacteria","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","FALSE",16,2101766.5625,1956.5625,39.59375
"105","Bacteria","Bacillota","Peptococcia","Peptococcales","Peptococcaceae","TRUE",2,3178099.5,3211.5,47.25
"106","Bacteria","Bacillota","Sulfobacillia","Sulfobacillales","Sulfobacillaceae","TRUE",1,3861015,3851,49.5
"107","Bacteria","Bacillota","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","TRUE",1,2936195,2723,45
"108","Bacteria","Bacillota","Syntrophomonadia","Syntrophomonadales","Syntrophothermaceae","FALSE",1,2405559,2416,51
"109","Bacteria","Bacillota","Thermaerobacteria","Thermaerobacterales","Thermaerobacteraceae","TRUE",2,2866718.5,2433.5,72.25
"110","Bacteria","Bacillota","Thermincolia","Thermincolales","Thermincolaceae","TRUE",1,3178727,3219,45.5
"111","Bacteria","Bacillota","Thermoanaerobacteria","Caldicellulosiruptorales","Caldicellulosiruptoraceae","TRUE",5,2863768.2,2763.8,35.5
"112","Bacteria","Bacillota","Thermoanaerobacteria","Thermoanaerobacterales","Caldanaerobiaceae","TRUE",1,2760766,2822,39
"113","Bacteria","Bacillota","Thermoanaerobacteria","Thermoanaerobacterales","Thermoanaerobacteraceae","TRUE",15,2504552.46666667,2539.6,35.8
"114","Bacteria","Bacillota","Z-2901","Carboxydothermales","Carboxydothermaceae","TRUE",2,2421756,2576,42
