"","gene_name2","enriched_facet"
"1","abrB","temperate"
"2","lexA","temperate"
"3","parA","temperate"
"4","sigH","virulent"
"5","spoIIIE","virulent"
"6","spoVG","virulent"
"7","ylaK","virulent"
"8","cwlH","temperate"
"9","cwlC","temperate"
"10","ligD","temperate"
"11","polA","virulent"
"12","XerD","temperate"
"13","PhoH","virulent"
"14","rsfA","temperate"
"15","rapA","temperate"
"16","rapK","temperate"
"17","spoIVCA","temperate"
"18","sspC","temperate"
"19","ycgL","virulent"
"20","endolysin","temperate"
"21","yhbH","virulent"
"22","fenA","virulent"
"23","lytD","virulent"
