gene_name,type,function,sporulation_impact,localization,stage,Class,Stage,subti_description,subti_function.,subti_product,subti_essential
abrB,transcriptional regulator,growth regulation,Repress sporulation,Pre-division,Initiation,Sporulation Initiation,Starvation,transcriptional regulator of transition state genes,regulation of gene expression during the transition from growth to stationary phase,transcriptional regulator,no
aprE,protease,protein degradation,Nutrient scavenging  ,Pre-division,Initiation,NA,NA,major extracellular alkaline protease,protein degradation,extracellular alkaline serine protease (subtilisin E),no
blyA,N-acetylmuramoyl-L-alanine amidase,lysin,Lysis,Unknown,Unknown,NA,NA,N-acetylmuramoyl-L-alanine amidase,SPß-mediated Lysis,N-acetylmuramoyl-L-alanine amidase,no
cwlA,N-acetylmuramoyl-L-alanine amidase,lysin,Lysis,Unknown,Unknown,NA,NA,N-acetylmuramoyl-L-alanine amidase,minor autolysin,N-acetylmuramoyl-L-alanine amidase,no
cwlC,N-acetylmuramoyl-L-alanine amidase,lysin,Mother cell Lysis,Mother cell,Mother cell Lysis,Mother cell Lysis,Mother cell Lysis,N-acetylmuramoyl-L-alanine amidase,Mother cell Lysis,N-acetylmuramoyl-L-alanine amidase,no
cwlH,N-acetylmuramoyl-L-alanine amidase,lysin,Lysis,Unknown,Unknown,Mother cell Lysis,Mother cell Lysis,N-acetylmuramoyl-L-alanine amidase,cell wall metabolism,N-acetylmuramoyl-L-alanine amidase,no
endolysin,Unknown,lysin,Lysis,Unknown,Lysis,Unknown Lysis,Lysis,NA,NA,NA,NA
fenA,endonuclease,DNA protection,DNA protection,Forespore,Middle,DNA Protection,Engulfment,"magnesium-dependent 5'->3' flap endonuclease, major contributor to the removal of RNA from an Okazaki fragment, protection of developing and dormant spores against UV DNA damage",removal of RNA from Okazaki fragments,5′-3′ flap endonuclease,no
lexA,transcriptional regulator,DNA repair,Repress sporulation / repair DNA,Forespore,Initiation,DNA Repair,Unknown,transcriptional repressor of the SOS regulon,regulation of DNA damage repair,transcriptional repressor of the SOS regulon,no
ligD,DNA-modifying,DNA repair,DNA repair,Unknown,Middle,DNA Repair,Unknown,DNA repair polymerase/ ligase in non-homologous end joining DNA repair,"non-homologous end joining DNA repair, repair of gapped DNA substrates",DNA repair polymerase/ ligase,no
lytD,remove,remove,remove,remove,remove,Unknown Lysis,Lysis,"minor autolysin, peptidoglycan N-acetylglucosaminidase","minor autolysin, cell separation",peptidoglycan N-acetylglucosaminidase,no
