gene_name,type,function,sporulation_impact,localization,stage,Class,Stage,subti_description,subti_function.,subti_product,subti_essential
mdfA,protein adaptor,protein degradation,Nutrient scavenging  ,Forespore,Early,NA,NA,"metabolic differentiation factor A, sporulation-specific adaptor protein, targets proteins to degradation by [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]] during sporulation",control of [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]]-mediated degradation of metabolic enzymes in the Forespore,"metabolic differentiation factor A, adaptor protein",no
nlpD,hydrolase,lysin,remove,remove,remove,NA,NA,NA,NA,NA,NA
nucB,DNA-modifying,DNA degradation,Nutrient scavenging  ,Mother cell,Mother cell Lysis,NA,NA,[wiki|sporulation]-specific extracellular nuclease,DNA degradation after Mother cell Lysis,[wiki|sporulation]-specific extracellular nuclease,no
parA,DNA-modifying,Partitioning,Partitioning,Both,Early,Partitioning,Commitment,"ATPase, centromere-like function involved in Forespore chromosome partitioning / negative regulation of [[category|SW.4.2]] initiation, regulator of SMC complex dynamics",Forespore chromosome partitioning / negative regulation of [[category|SW.4.2]] initiation,negative regulator of [[category|SW.4.2]] initiation,no
pghL,phage-dervied lysin,lysin,Lysis,Unknown,Unknown,NA,NA,"phage-derived gamma polyglutamic acid hydrolase, sporulation protein",polyglutamic acid degradation,phage-derived gamma polyglutamic acid hydrolase,no
phoH,starvation protein,phosphate starvation protein,Unknown,Unknown,Unknown,Unknown,Unknown,phosphate starvation-induced protein,unkown,Unknown,no
polA,DNA-modifying,DNA repair,DNA repair,Unknown,Unknown,DNA Repair,Unknown,"DNA polymerase I, required for repair of UV- or MMS-induced DNA damage, processing of Okazaki fragments",DNA replication,DNA polymerase I,no
rapA,transcriptional regulator,sporulation initiation,Repress sporulation,Pre-division,Initiation,Sporulation Initiation,Initiation,"response regulator aspartate phosphatase, dephosphoryLates [[protein|9896B99346B0D3F6D57F57377DB253B46135A37A]]-P, control of the [wiki|phosphorelay]",control of [wiki|sporulation] initiation,response regulator aspartate phosphatase,no
rapJ,transcriptional regulator,sporulation initiation,Repress sporulation,Pre-division,Initiation,NA,NA,"response regulator aspartate phosphatase, dephosphoryLates [[protein|9896B99346B0D3F6D57F57377DB253B46135A37A]]-P",control of the [wiki|phosphorelay],response regulator aspartate phosphatase,no
rapK,transcriptional regulator,sporulation initiation,Repress sporulation,Pre-division,Initiation,Sporulation Initiation,Initiation,"response regulator aspartate phosphatase, controls [[protein|7832489F11F606BCF637EC23BAAB41AD10237EBB]] activity",control of [[protein|7832489F11F606BCF637EC23BAAB41AD10237EBB]] activity,response regulator aspartate phosphatase,no
rsfA,transcriptional regulator,reguLates sigma factor,Sporulation regulation,Forespore,Middle,Sigma Regulator,Commitment/Engulfment,probable regulator of transcription of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]]-dependent genes,control of expression of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]]-dependent genes,regulator of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]] activity,no
sigA,sigma factor regulator,sigma factor regulator,Sporulation regulation,Pre-division,Initiation,NA,NA,[wiki|RNA polymerase] major [wiki|sigma factor] SigA,transcription,[wiki|RNA polymerase] major [wiki|sigma factor] SigA,yes
sigF,sigma factor regulator,sigma factor regulator,Sporulation regulation,Forespore,Early,NA,NA,[wiki|RNA polymerase] Forespore-specific (Early) [wiki|sigma factor] SigF,transcription of [wiki|sporulation] genes (Early Forespore),[wiki|RNA polymerase] Forespore-specific (Early) [wiki|sigma factor] SigF,no
sigG,sigma factor regulator,sigma factor regulator,Sporulation regulation,Forespore,Late,NA,NA,[wiki|RNA polymerase] [wiki|sporulation] Forespore-specific (Late) [wiki|sigma factor] SigG,transcription of [wiki|sporulation] genes (Late Forespore),[wiki|RNA polymerase] [wiki|sporulation] Forespore-specific (Late) [wiki|sigma factor] SigG,no
sigH,sigma factor regulator,sigma factor regulator,Sporulation regulation,Pre-division,Initiation,Sporulation Initiation,Initiation,"[wiki|RNA polymerase] [wiki|sigma factor] SigH, not fully active in laboratory strains due to a mutation (V117A)","transcription of Early stationary phase genes ([wiki|sporulation], competence)",[wiki|RNA polymerase] [wiki|sigma factor] SigH,no
spoIIIE,DNA-modifying,Partitioning,Partitioning,Both,Early,Partitioning,Commitment,"ATP-dependent dsDNA translocase, resolution of chromosomal dimers after [wiki|DNA replication], coordinates chromosome segregation and peptidoglycan remodeling during sporulation, transports the Forespore chromosome across the [wiki|sporulation] septum",chromosome partition during [wiki|sporulation],ATP-dependent dsDNA translocase required for chromosome partition,no
spoIIQ,type iii secretion,Partitioning,Partitioning,Both,Middle,NA,NA,"component of the [[protein|00BDD4E3370DB3A9F4D75FE265A2A8DF05185CCC]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the Forespore membrane, required for anchoring of proteins on both sides of the sporulation septum, required for localization and stability of [[protein|7C8DFE00A2B2B30CC8BEB35055D92CC2E4128F3A]]",Forespore encasement by the spore coat,part of the transmembrane channel linking the Mother cell and the Forespore,no
spoIVCA,DNA-modifying,sigma factor regulator,spore maturation,Mother cell,Middle,Sigma Regulator,Commitment,site-specific DNA recombinase required for creating the [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene (excision of the [[category|SW.5.1.3]]),"excision of the [[category|SW.5.1.3]], creation of the [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene",site-specific DNA recombinase,no
spoVG,DNA-modifying,Partitioning,Partitioning,Forespore,Early,Sporulation Initiation,Initiation,"RNA-binding regulatory protein, negative effector of asymetric septation at the onset of sporulation","cell division, control of sporulation initiation",negative effector of asymetric septation,no
sspB,DNA-modifying,DNA protection,DNA protection,Forespore,Middle,NA,NA,small acid-soluble spore protein (major beta-type SASP),protection of spore DNA,small acid-soluble spore protein (major beta-type SASP),no
sspC,DNA-modifying,DNA protection,DNA protection,Forespore,Middle,DNA Protection,Engulfment,small acid-soluble spore protein (minor alpha/beta-type SASP),protection of spore DNA,small acid-soluble spore protein (minor alpha/beta-type SASP),no
xerD,DNA-modifying,Partitioning,Partitioning,Both,Early,Partitioning,Unknown,"site-specific integrase/recombinase, partitioning of the terminus region after replication, terminus-specific unloader of translocating SMC complexes","chromosome partitioning, unloading of SMC complexes",site-specific integrase/recombinase,no
ycgL,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Engulfment,Unknown,Unknown,Unknown,no
yclG,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,Unknown,Unknown,no
yhbB,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,"spore coat protein, amidase",Unknown,amidase,no
yhbH,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Commitment,[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent [wiki|sporulation] gene,[[category|SW.4.2]],Unknown,no
yjbA,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA
ylaK,starvation protein,phosphate starvation protein,Unknown,Unknown,Middle,Unknown,Commitment,similar to phosphate starvation inducible protein [[protein|6BF4F99DEF2E032A8547B920086305775D04FACF]],Unknown,Unknown,no
yoaM,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,Unknown,Unknown,no
yqaN,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,"Unknown, skin element",Unknown,Unknown,no
yuiC,hydrolase,lysin,stationary phase protein,Pre-division,Initiation,NA,NA,"stationary phase survival protein, sporulation protein, putative cell wall hydrolase (N-acetylglucosamidase)",Unknown,"stationary phase survival protein, sporulation protein",no
ywqJ,toxin,toxin,Unknown,Unknown,Unknown,NA,NA,LXG toxin,Unknown,LXG toxin,no
