"","gene_name","type","function..x","sporulation_impact","localization","stage","Class","Stage","description","function..y","product","essential"
"12","fenA","endonuclease","DNA protection","DNA protection","Forespore","Middle","DNA Protection","Engulfment","magnesium-dependent 5'->3' flap endonuclease, major contributor to the removal of RNA from an Okazaki fragment, protection of developing and dormant spores against UV DNA damage","removal of RNA from Okazaki fragments","5′-3′ flap endonuclease","no"
"13","floT",NA,NA,NA,NA,NA,NA,NA,"membrane-associated scaffold protein, reduces membrane order, orchestration of physiological processes in lipid microdomains, involved in the control of membrane fluidity, confers (together with [[protein|FFBB9B236B7D532D45FE0593B793E28E051BE7A2]]) resistance to cefuroxime","control of membrane fluidity","membrane-associated scaffold protein","no"
"14","lexA","transcriptional regulator","DNA repair","Repress sporulation / repair DNA","Forespore","Initiation","DNA Repair","Unknown","transcriptional repressor of the SOS regulon","regulation of DNA damage repair","transcriptional repressor of the SOS regulon","no"
"15","ligD","DNA-modifying","DNA repair","DNA repair","Unknown","Middle","DNA Repair","Unknown","DNA repair polymerase/ ligase in non-homologous end joining DNA repair","non-homologous end joining DNA repair, repair of gapped DNA substrates","DNA repair polymerase/ ligase","no"
"16","lytA",NA,NA,NA,NA,NA,NA,NA,"secretion of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]]","autolysis","secretion of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]]","no"
"17","lytD","remove","remove","remove","remove","remove","Unknown Lysis","Lysis","minor autolysin, peptidoglycan N-acetylglucosaminidase","minor autolysin, cell separation","peptidoglycan N-acetylglucosaminidase","no"
"18","mdfA","protein adaptor","protein degradation","Nutrient scavenging  ","Forespore","Early",NA,NA,"metabolic differentiation factor A, sporulation-specific adaptor protein, targets proteins to degradation by [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]] during sporulation","control of [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]]-mediated degradation of metabolic enzymes in the forespore","metabolic differentiation factor A, adaptor protein","no"
"19","nadE",NA,NA,NA,NA,NA,NA,NA,"NH3-dependent NAD+ synthetase","NAD biosynthesis","NH3-dependent NAD+ synthetase","yes"
"20","nlpD","hydrolase","lysin","remove","remove","remove",NA,NA,NA,NA,NA,NA
"21","nucB","DNA-modifying","DNA degradation","Nutrient scavenging  ","Mother cell","Mother cell Lysis",NA,NA,"[wiki|sporulation]-specific extracellular nuclease","DNA degradation after mother cell lysis","[wiki|sporulation]-specific extracellular nuclease","no"
"22","parA","DNA-modifying","Partitioning","Partitioning","Both","Early","Partitioning","Commitment","ATPase, centromere-like function involved in forespore chromosome partitioning / negative regulation of [[category|SW.4.2]] initiation, regulator of SMC complex dynamics","forespore chromosome partitioning / negative regulation of [[category|SW.4.2]] initiation","negative regulator of [[category|SW.4.2]] initiation","no"
"23","parB",NA,NA,NA,NA,NA,NA,NA,"[[metabolite|CTP]] hydrolase, chromosome positioning near the pole and transport through the polar septum / antagonist of SMC complex to the origin of replication, coordination of early steps in DNA replication with establishment of a medial division site","chromosome positioning before asymmetric septation","[[protein|0136394A52759CEEDD8DE074ED74033C6FFB8435]]-loading protein","no"
"24","pcrA",NA,NA,NA,NA,NA,NA,NA,"ATP-dependent DNA helicase, coupling of DNA replication, transcription, recombination and segregation, facilitates unwinding of ICEBs1 DNA for horizontal transfer, required to overcome a replicative stress","coupling of DNA replication, transcription, recombination and segregation","ATP-dependent DNA helicase","yes"
"25","pghL","phage-dervied lysin","lysin","Lysis","Unknown","Unknown",NA,NA,"phage-derived gamma polyglutamic acid hydrolase, sporulation protein","polyglutamic acid degradation","phage-derived gamma polyglutamic acid hydrolase","no"
"26","phoH","starvation protein","phosphate starvation protein","Unknown","Unknown","Unknown","Unknown","Unknown","phosphate starvation-induced protein","unkown","unknown","no"
"27","pncA",NA,NA,NA,NA,NA,NA,NA,"nicotinamidase","NAD salvage","nicotinamidase","no"
"28","polA","DNA-modifying","DNA repair","DNA repair","Unknown","Unknown","DNA Repair","Unknown","DNA polymerase I, required for repair of UV- or MMS-induced DNA damage, processing of Okazaki fragments","DNA replication","DNA polymerase I","no"
"29","rapA","transcriptional regulator","sporulation initiation","Repress sporulation","Pre-division","Initiation","Sporulation Initiation","Initiation","response regulator aspartate phosphatase, dephosphorylates [[protein|9896B99346B0D3F6D57F57377DB253B46135A37A]]-P, control of the [wiki|phosphorelay]","control of [wiki|sporulation] initiation","response regulator aspartate phosphatase","no"
"30","rapJ","transcriptional regulator","sporulation initiation","Repress sporulation","Pre-division","Initiation",NA,NA,"response regulator aspartate phosphatase, dephosphorylates [[protein|9896B99346B0D3F6D57F57377DB253B46135A37A]]-P","control of the [wiki|phosphorelay]","response regulator aspartate phosphatase","no"
"31","rapK","transcriptional regulator","sporulation initiation","Repress sporulation","Pre-division","Initiation","Sporulation Initiation","Initiation","response regulator aspartate phosphatase, controls [[protein|7832489F11F606BCF637EC23BAAB41AD10237EBB]] activity","control of [[protein|7832489F11F606BCF637EC23BAAB41AD10237EBB]] activity","response regulator aspartate phosphatase","no"
"32","rsfA","transcriptional regulator","reguLates sigma factor","Sporulation regulation","Forespore","Middle","Sigma Regulator","Commitment/Engulfment","probable regulator of transcription of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]]-dependent genes","control of expression of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]]-dependent genes","regulator of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]] activity","no"
"33","sigA","sigma factor regulator","sigma factor regulator","Sporulation regulation","Pre-division","Initiation",NA,NA,"[wiki|RNA polymerase] major [wiki|sigma factor] SigA","transcription","[wiki|RNA polymerase] major [wiki|sigma factor] SigA","yes"
"34","sigF","sigma factor regulator","sigma factor regulator","Sporulation regulation","Forespore","Early",NA,NA,"[wiki|RNA polymerase] forespore-specific (early) [wiki|sigma factor] SigF","transcription of [wiki|sporulation] genes (early forespore)","[wiki|RNA polymerase] forespore-specific (early) [wiki|sigma factor] SigF","no"
"35","sigG","sigma factor regulator","sigma factor regulator","Sporulation regulation","Forespore","Late",NA,NA,"[wiki|RNA polymerase] [wiki|sporulation] forespore-specific (late) [wiki|sigma factor] SigG","transcription of [wiki|sporulation] genes (late forespore)","[wiki|RNA polymerase] [wiki|sporulation] forespore-specific (late) [wiki|sigma factor] SigG","no"
"36","sigH","sigma factor regulator","sigma factor regulator","Sporulation regulation","Pre-division","Initiation","Sporulation Initiation","Initiation","[wiki|RNA polymerase] [wiki|sigma factor] SigH, not fully active in laboratory strains due to a mutation (V117A)","transcription of early stationary phase genes ([wiki|sporulation], competence)","[wiki|RNA polymerase] [wiki|sigma factor] SigH","no"
"37","spoIIIE","DNA-modifying","Partitioning","Partitioning","Both","Early","Partitioning","Commitment","ATP-dependent dsDNA translocase, resolution of chromosomal dimers after [wiki|DNA replication], coordinates chromosome segregation and peptidoglycan remodeling during sporulation, transports the forespore chromosome across the [wiki|sporulation] septum","chromosome partition during [wiki|sporulation]","ATP-dependent dsDNA translocase required for chromosome partition","no"
"38","spoIIQ","type iii secretion","Partitioning","Partitioning","Both","Middle",NA,NA,"component of the [[protein|00BDD4E3370DB3A9F4D75FE265A2A8DF05185CCC]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane, required for anchoring of proteins on both sides of the sporulation septum, required for localization and stability of [[protein|7C8DFE00A2B2B30CC8BEB35055D92CC2E4128F3A]]","forespore encasement by the spore coat","part of the transmembrane channel linking the mother cell and the forespore","no"
"39","spoIVCA","DNA-modifying","sigma factor regulator","spore maturation","Mother cell","Middle","Sigma Regulator","Commitment","site-specific DNA recombinase required for creating the [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene (excision of the [[category|SW.5.1.3]])","excision of the [[category|SW.5.1.3]], creation of the [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene","site-specific DNA recombinase","no"
"40","spoVG","DNA-modifying","Partitioning","Partitioning","Forespore","Early","Sporulation Initiation","Initiation","RNA-binding regulatory protein, negative effector of asymetric septation at the onset of sporulation","cell division, control of sporulation initiation","negative effector of asymetric septation","no"
"41","sspB","DNA-modifying","DNA protection","DNA protection","Forespore","Middle",NA,NA,"small acid-soluble spore protein (major beta-type SASP)","protection of spore DNA","small acid-soluble spore protein (major beta-type SASP)","no"
"42","sspC","DNA-modifying","DNA protection","DNA protection","Forespore","Middle","DNA Protection","Engulfment","small acid-soluble spore protein (minor alpha/beta-type SASP)","protection of spore DNA","small acid-soluble spore protein (minor alpha/beta-type SASP)","no"
"43","tauA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","tauC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","tesA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","xerD","DNA-modifying","Partitioning","Partitioning","Both","Early","Partitioning","Unknown","site-specific integrase/recombinase, partitioning of the terminus region after replication, terminus-specific unloader of translocating SMC complexes","chromosome partitioning, unloading of SMC complexes","site-specific integrase/recombinase","no"
"47","xlyB",NA,NA,NA,NA,NA,NA,NA,"N-acetylmuramoyl-L-alanine amidase","PBSX prophage-mediated lysis","N-acetylmuramoyl-L-alanine amidase","no"
"48","ycgL","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Engulfment","unknown","unknown","unknown","no"
"49","yclG","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,"unknown","unknown","unknown","no"
"50","yhaM",NA,NA,NA,NA,NA,NA,NA,"3′-deoxyribonuclease specific for ssDNA","uptake and processing of ssDNA","3′-deoxyribonuclease","no"
"51","yhbB","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,"spore coat protein, amidase","unknown","amidase","no"
"52","yhbH","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commitment","[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent [wiki|sporulation] gene","[[category|SW.4.2]]","unknown","no"
"53","yitB",NA,NA,NA,NA,NA,NA,NA,"phospho-adenylylsulfate sulfotransferase","sulfate reduction and activation","phospho-adenylylsulfate sulfotransferase","no"
"54","yjbA","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA
"55","ylaK","starvation protein","phosphate starvation protein","Unknown","Unknown","Middle","Unknown","Commitment","similar to phosphate starvation inducible protein [[protein|6BF4F99DEF2E032A8547B920086305775D04FACF]]","unknown","unknown","no"
"56","yoaM","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,"unknown","unknown","unknown","no"
"57","ypeP",NA,NA,NA,NA,NA,NA,NA,"similar to RNase HI","unknown","unknown","no"
"58","yqaN","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,"unknown, skin element","unknown","unknown","no"
"59","yqhH",NA,NA,NA,NA,NA,NA,NA,"similar to SNF2 helicase","unknown","unknown","no"
"60","yuiC","hydrolase","lysin","stationary phase protein","Pre-division","Initiation",NA,NA,"stationary phase survival protein, sporulation protein, putative cell wall hydrolase (N-acetylglucosamidase)","unknown","stationary phase survival protein, sporulation protein","no"
"61","ywqJ","toxin","toxin","Unknown","Unknown","Unknown",NA,NA,"LXG toxin","unknown","LXG toxin","no"
