"","gene_name","type","function..x","sporulation_impact","localization","stage","Class","Stage","description","function..y","product","essential"
"1","abrB","transcriptional regulator","growth regulation","Repress sporulation","Pre-division","Initiation","Sporulation Initiation","Starvation","transcriptional regulator of transition state genes","regulation of gene expression during the transition from growth to stationary phase","transcriptional regulator","no"
"2","aprE","protease","protein degradation","Nutrient scavenging  ","Pre-division","Initiation",NA,NA,"major extracellular alkaline protease","protein degradation","extracellular alkaline serine protease (subtilisin E)","no"
"3","blyA","N-acetylmuramoyl-L-alanine amidase","lysin","Lysis","Unknown","Unknown",NA,NA,"N-acetylmuramoyl-L-alanine amidase","SPß-mediated lysis","N-acetylmuramoyl-L-alanine amidase","no"
"4","cwlA","N-acetylmuramoyl-L-alanine amidase","lysin","Lysis","Unknown","Unknown",NA,NA,"N-acetylmuramoyl-L-alanine amidase","minor autolysin","N-acetylmuramoyl-L-alanine amidase","no"
"5","cwlC","N-acetylmuramoyl-L-alanine amidase","lysin","Mother cell Lysis","Mother cell","Mother cell Lysis","Mother cell Lysis","Mother cell Lysis","N-acetylmuramoyl-L-alanine amidase","mother cell lysis","N-acetylmuramoyl-L-alanine amidase","no"
"6","cwlH","N-acetylmuramoyl-L-alanine amidase","lysin","Lysis","Unknown","Unknown","Mother cell Lysis","Mother cell Lysis","N-acetylmuramoyl-L-alanine amidase","cell wall metabolism","N-acetylmuramoyl-L-alanine amidase","no"
"7","cwlJ",NA,NA,NA,NA,NA,NA,NA,"spore coat protein, cell wall hydrolase","spore germination","spore coat protein, cell wall hydrolase","no"
"8","dhhP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","dnaX",NA,NA,NA,NA,NA,NA,NA,"DNA polymerase  III (gamma and tau subunits) part of the clamp-loader complex and the [wiki|replisome]","[[category|SW.3.1.1]]","DNA polymerase  III (gamma and tau subunits)","yes"
"10","endoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","endolysin","Unknown","lysin","Lysis","Unknown","Lysis","Unknown Lysis","Lysis",NA,NA,NA,NA
