gene_name,remove,family,type,func,sporulation_impact_simp,sporulation_impact,localization,stage,Prophage,SporExpression,Spor_sigma,Other Sigma,regulon
abrB,,,transcriptional regulator,growth regulation,Repress sporulation,Repress sporulation,Pre-division,Initiation,,Yes,SigA,,"Spo0A, AbrR"
aprE,,peptidase S8 family,protease,protein degradation,Metabolism,Nutrient scavenging  ,Pre-division,Initiation,,Yes,SigA,,AbrB
blyA,remove,N-acetylmuramoyl-L-alanine amidase 2 family,Lysin,Lysin,Lysis,Lysis,Unknown,Unknown,Prophage,Unknown,None,,
cwlA,remove,N-acetylmuramoyl-L-alanine amidase 2 family,Lysin,Lysin,Lysis,Lysis,Unknown,Unknown,Prophage,Unknown,None,,
cwlC,,N-acetylmuramoyl-L-alanine amidase 3 family,Lysin,Lysin,Lysis,Mother cell Lysis,Mother cell,Mother cell Lysis,,Exclusive,SigK,,
cwlH,,N-acetylmuramoyl-L-alanine amidase 2 family,Lysin,Lysin,Lysis,Lysis,Mother cell,Mother cell Lysis,,Exclusive,SigK,,GerE
cwlJ,,"cwlJ family (single member, according to UniProt)",Lysin,Spore coat,Spore coat,Spore coat,Spore,Germination,,Yes,"SigE, SigK",,SpoIIID
dhhP,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,None,,
dnaX,remove,"DnaX/STICHEL family (single member, according to UniProt)",DNA-modifying,Replication,Unknown,Unknown,Unknown,Unknown,,Unknown,None,,
endoA,,MazF,Toxin,mRNA interfase,Stress/Stationary Response,Stress Response,Unknown,Unknown,,Unknown,None,,
endolysin,,,Unknown,Lysin,Lysis,Lysis,Unknown,Lysis,,Unknown,None,,
fenA,,Nuclease,endonuclease,DNA protection,DNA-modifying,DNA protection,Forespore,Middle,,Yes,None,,
floT,,"Stomatin, Prohibitin, Flotillin, and HflK/C (SPFH) domain protein family (with [[proteinCA4EF8385EAA4BBC47FF0D998C820D9F36F5F94D]] and [[protein11A55829B4C3E8EA434A600FF7B4102F8E5A7DCE]]) [pubmed34777311]",membrane protein,permeability,Stress/Stationary Response,Stress Response,Unknown,Unknown,,Unknown,None,SigW,
lexA,,"peptidase S24 family (single member, according to UniProt)",transcriptional regulator,DNA repair,Repress sporulation / repair DNA,Repress sporulation / repair DNA,Pre-division,Initiation,,Yes,None,,lexA
ligD,,"N-terminal part: LigD polymerase family (single member, according to UniProt), C-terminal part: ATP-dependent DNA ligase family (with [[proteinB66132676788FBA47D375193A1C01FC6F93E110F]], according to UniProt)",DNA-modifying,DNA repair,DNA-modifying,DNA repair,Unknown,Middle,,Unknown,None,,
lytA,remove,autolysin,Lysin,Lysin,Unknown,Unknown,Unknown,Unknown,,Unknown,SigA,SigD,
lytD,remove,"glycosyl hydrolase 73 family (with [[proteinAF0BC3D534BC2CCCAAB53B286CF4286E58A8A338]], according to UniProt)",remove,remove,remove,remove,remove,remove,,,None,,
mdfA,,ClpC-Clp,protein adaptor,protein degradation,Metabolism,Metabolism,Forespore,Early,,Yes,SigF,,
nadE,,NAD synthetase,NAD synthetase,Energy Metabolism,Metabolism,Metabolism,Unknown,Unknown,,Unknown,None,,
nlpD,remove,remove,remove,remove,remove,remove,remove,remove,,remove,SigA,SigB,
nucB,,Nuclease,DNA-modifying,DNA degradation,Metabolism,Nutrient scavenging  ,Mother cell,Mother cell Lysis,,Exclusive,SigE,,
parA,,Par family,DNA-modifying,Partitioning,Partitioning,Partitioning,Both,Early,,Yes,None,,
