gene_name,remove,family,type,func,sporulation_impact_simp,sporulation_impact,localization,stage,Prophage,SporExpression,Spor_sigma,Other Sigma,regulon
parB,,Par family,DNA-modifying,Partitioning,Partitioning,Partitioning,Both,Early,,Yes,None,,Spo0A
parS,,DNA motif,DNA motif,Partitioning,Partitioning,Partitioning,Both,Early,,Yes,None,,
pcrA,,Helicase,DNA-modifying,Replication,Unknown,Unknown,Unknown,Unknown,,Unknown,None,,LexA
pghL,,Lysin,Lysin,Lysin,Lysis,Lysis,Mother cell,Unknown,,Exclusive,SigK,,
phoH,,"phoH family (with [[protein5913ABC121A03644897BD365D7E507661CD3AF39]], according to UniProt)",starvation protein,phosphate starvation protein,Unknown,Unknown,Unknown,Unknown,,Unknown,None,,
pncA,,Isochorismatase family,Nad salvage,Energy Metabolism,Unknown,Unknown,Unknown,Unknown,,Unknown,None,,
polA,remove,"DNA polymerase type-A family (single member, according to UniProt)",DNA-modifying,DNA processing,DNA-modifying,DNA repair,Unknown,Unknown,,Unknown,SigE,,
rapA,,RAP family,transcriptional regulator,sporulation initiation,Repress sporulation,Repress sporulation,Pre-division,Initiation,,Yes,SigA,,Spo0A
rapJ,,RAP family,transcriptional regulator,sporulation initiation,Repress sporulation,Repress sporulation,Pre-division,Initiation,,Yes,None,,
rapK,,RAP family,transcriptional regulator,sporulation initiation,Repress sporulation,Repress sporulation,Pre-division,Initiation,,Yes,SigH,,"ComA, AbrB"
rsfA,,,sigma factor regulator,sigma factor helper,Sporulation regulation,Sporulation regulation,Forespore,Middle,,Yes,"SigF, SigG",,rsfA
sigA,,Sigma-70 factor family,sigma factor regulator,sigma factor regulator,Sporulation regulation,Sporulation regulation,Pre-division,Initiation,,Yes,SigA,,Spo0A
sigF,,Sigma-70 factor family,sigma factor regulator,sigma factor regulator,Sporulation regulation,Sporulation regulation,Forespore,Early,,Exclusive,SigF,,"Spo0A, AbrR"
sigG,,Sigma-70 factor family,sigma factor regulator,sigma factor regulator,Sporulation regulation,Sporulation regulation,Forespore,Late,,Exclusive,SigG,,
sigH,,Sigma-70 factor family,sigma factor regulator,sigma factor regulator,Sporulation regulation,Sporulation regulation,Pre-division,Initiation,,Exclusive,SigH,,AbrB
spoIIIE,,"FtsK/SpoIIIE/SftA family (with [[proteinDF77B46666595E86081C5345C91E08F86DF9FAEE]], according to UniProt)",DNA-modifying,Partitioning,Partitioning,Partitioning,Both,Early,,Yes,SigA,,
spoIIQ,,,type iii secretion,Partitioning,Partitioning,Partitioning,Both,Middle,,Yes,SigF,,
spoIVCA,,N-terminal part: site-specific recombinase resolvase family,DNA-modifying,Partitioning,Skin Element,Skin Element,Mother cell,Middle,,Yes,"SigE, SigK",,"SpoIIID, SknR"
spoVG,,"SpoVG family (single member, according to UniProt)",DNA-modifying,Partitioning,Partitioning,Partitioning,Forespore,Early,,Yes,SigH,,AbrB
sspB,,Alpha/beta-type SASP family,DNA-modifying,DNA processing,DNA protection,DNA protection,Forespore,Late,,Yes,SigG,,
sspC,,Alpha/beta-type SASP family,DNA-modifying,DNA processing,DNA protection,DNA protection,Forespore,Late,,Yes,SigG,,
tauA,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,None,,
tauC,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,None,,
tesA,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,None,,
xerD,remove,phage integrase family,DNA-modifying,Partitioning,Partitioning,Partitioning,Unknown,Unknown,Prophage,Unknown,None,,
xlyB,remove,N-acetylmuramoyl-L-alanine amidase 2 family,Lysin,Lysin,Lysis,Lysis,Unknown,Unknown,Prophage,Unknown,None,,
ycgL,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Yes,None,,
yclG,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Yes,None,,
yhaM,,YhaM,DNA-modifying,Competence,Unknown,Unknown,Unknown,Unknown,,Unknown,None,,LexA
yhbB,,"Amidase 6 family (with [[proteinE3603BC23B04BA806F008EF13C6CDA23ADDAC7D8]], according to UniProt)",Lysin,Spore coat,Spore coat,Spore coat,Mother cell,Early,,Yes,SigE,,
yhbH,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Yes,SigE,,
yitB,,"PAPS reductase family (with [[protein51EB09C122A7166D662AE72842A44EC5FBA03134]], according to UniProt)",Metabolic,Sulfate reduction,Metabolism,Metabolism,Mother cell,Unknown,,Yes,SigK,,
yjbA,,ClpC-Clp,protein adaptor,protein degradation,Metabolism,Metabolism,Forespore,Early,,Exclusive,SigF,,
ylaK,,"C-terminal part: phoH family (with [[protein6BF4F99DEF2E032A8547B920086305775D04FACF]], according to UniProt)",starvation protein,phosphate starvation protein,Unknown,Unknown,Unknown,Middle,,Yes,None,,
yoaM,,SOS response-associated peptidase family,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Yes,None,,
ypeP,,Rnase,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Yes,None,,
yqaN,,,Unknown,Unknown,Sporulation regulation,Skin Element,Unknown,Unknown,Prophage,Exclusive,SigA,,SknR
yqhH,,"helicase family, SNF2/RAD54 helicase family (with [[protein265490FA83D6D3F178C26C9240E3CB224513BF42]], according to UniProt)",DNA-modifying,DNA processing,DNA-modifying,DNA processing,Forespore,Early,,Yes,SigF,,
yuiC,,,RPF-like,Lysin,Stress/Stationary Response,Stationary Response,Pre-division,Initiation,,Yes,SigF,,
ywqJ,,,Toxin,Toxin,Stress/Stationary Response,Stress Response,Unknown,Unknown,,Yes,None,,
0A,,DNA motif,transcriptional regulator,sporulation initiation,Repress sporulation,Repress sporulation,Pre-division,Initiation,,Yes,,,Spo0A
