gene_name,Family,type,func.desc,sporulation_impact,localization,stage,SporExpression,keyRegulon,Class,Stage,description,function,product,essential,links
abrB,,transcriptional regulator,growth regulation,Repress sporulation,Pre-division,Initiation,,,Sporulation Initiation,Starvation,transcriptional regulator of transition state genes,regulation of gene expression during the transition from growth to stationary phase,transcriptional regulator,no,
aprE,,protease,protein degradation,Nutrient scavenging  ,Pre-division,Initiation,,,,,major extracellular alkaline protease,protein degradation,extracellular alkaline serine protease (subtilisin E),no,
blyA,,lysin,lysin,Lysis,Unknown,Unknown,,,,,N-acetylmuramoyl-L-alanine amidase,SPß-mediated lysis,N-acetylmuramoyl-L-alanine amidase,no,
cwlA,,lysin,lysin,Lysis,Unknown,Unknown,,,,,N-acetylmuramoyl-L-alanine amidase,minor autolysin,N-acetylmuramoyl-L-alanine amidase,no,
cwlC,,lysin,lysin,Mother cell Lysis,Mother cell,Mother cell Lysis,,,Mother cell Lysis,Mother cell Lysis,N-acetylmuramoyl-L-alanine amidase,mother cell lysis,N-acetylmuramoyl-L-alanine amidase,no,
cwlH,,lysin,lysin,Lysis,Unknown,Unknown,,,Mother cell Lysis,Mother cell Lysis,N-acetylmuramoyl-L-alanine amidase,cell wall metabolism,N-acetylmuramoyl-L-alanine amidase,no,
cwlJ,,lysin,spore coat protein,Germination,Forespore,Late,,,,,"spore coat protein, cell wall hydrolase",spore germination,"spore coat protein, cell wall hydrolase",no,
dhhP,,,,,,,,,,,,,,,
dnaX,,,,,,,,,,,DNA polymerase  III (gamma and tau subunits) part of the clamp-loader complex and the [wiki|replisome],[[category|SW.3.1.1]],DNA polymerase  III (gamma and tau subunits),yes,
endoA,,,,,,,,,,,,,,,
endolysin,,Unknown,lysin,Lysis,Unknown,Lysis,,,Unknown Lysis,Lysis,,,,,
fenA,,endonuclease,DNA protection,DNA protection,Forespore,Middle,,,DNA Protection,Engulfment,"magnesium-dependent 5'->3' flap endonuclease, major contributor to the removal of RNA from an Okazaki fragment, protection of developing and dormant spores against UV DNA damage",removal of RNA from Okazaki fragments,5′-3′ flap endonuclease,no,
floT,,,,,,,,,,,"membrane-associated scaffold protein, reduces membrane order, orchestration of physiological processes in lipid microdomains, involved in the control of membrane fluidity, confers (together with [[protein|FFBB9B236B7D532D45FE0593B793E28E051BE7A2]]) resistance to cefuroxime",control of membrane fluidity,membrane-associated scaffold protein,no,
lexA,,transcriptional regulator,DNA repair,Repress sporulation / repair DNA,Forespore,Initiation,,,DNA Repair,Unknown,transcriptional repressor of the SOS regulon,regulation of DNA damage repair,transcriptional repressor of the SOS regulon,no,
ligD,,DNA-modifying,DNA repair,DNA repair,Unknown,Middle,,,DNA Repair,Unknown,DNA repair polymerase/ ligase in non-homologous end joining DNA repair,"non-homologous end joining DNA repair, repair of gapped DNA substrates",DNA repair polymerase/ ligase,no,
lytA,,lysin,,,,,,,,,secretion of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]],autolysis,secretion of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]],no,
lytD,,remove,remove,remove,remove,remove,,,Unknown Lysis,Lysis,"minor autolysin, peptidoglycan N-acetylglucosaminidase","minor autolysin, cell separation",peptidoglycan N-acetylglucosaminidase,no,
mdfA,,protein adaptor,protein degradation,Nutrient scavenging  ,Forespore,Early,,,,,"metabolic differentiation factor A, sporulation-specific adaptor protein, targets proteins to degradation by [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]] during sporulation",control of [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]]-mediated degradation of metabolic enzymes in the forespore,"metabolic differentiation factor A, adaptor protein",no,
nadE,,,,,,,,,,,NH3-dependent NAD+ synthetase,NAD biosynthesis,NH3-dependent NAD+ synthetase,yes,
nlpD,,hydrolase,lysin,remove,remove,remove,,,,,,,,,
nucB,,DNA-modifying,DNA degradation,Nutrient scavenging  ,Mother cell,Mother cell Lysis,,,,,[wiki|sporulation]-specific extracellular nuclease,DNA degradation after mother cell lysis,[wiki|sporulation]-specific extracellular nuclease,no,
parA,,DNA-modifying,Partitioning,Partitioning,Both,Early,,,Partitioning,Commitment,"ATPase, centromere-like function involved in forespore chromosome partitioning / negative regulation of [[category|SW.4.2]] initiation, regulator of SMC complex dynamics",forespore chromosome partitioning / negative regulation of [[category|SW.4.2]] initiation,negative regulator of [[category|SW.4.2]] initiation,no,
